SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
BLUE BLAZER	31	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	19.35	0.0	3.23	0.0	0.0	0.0	12.90	0.0	0.0	0.0	0.0	0.0	0.0	9.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.94	0.0	0.0	0.0	0.0	3.23	0.0	6.45	0.0	0.0	3.23	3.23	0.0	0.0	3.23	0.0	0.0	0.0	3.23	0.0	0.0	0.0	6.45	12.90	3.23	9.68	0.0	22.58	0.0	0.0	0.0	0.0	0.0	12.90	12.90	0.0	0.0	0.0	3.23	3.23	6.45	3.23	0.0
BLUE-BLAZER	23	23.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	13.04	0.0	4.35	0.0	0.0	0.0	13.04	0.0	4.35	0.0	0.0	0.0	4.35	13.04	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.83	0.0	0.0	0.0	0.0	0.0	8.70	8.70	0.0	0.0	0.0	4.35	0.0	0.0	4.35	4.35	0.0	0.0	0.0	4.35	4.35	0.0	8.70	13.04	13.04	13.04	0.0	30.43	0.0	0.0	4.35	0.0	0.0	4.35	13.04	0.0	0.0	0.0	13.04	17.39	0.0	0.0	0.0
CHARLIE	30	30.0	0.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	6.67	0.0	0.0	0.0	3.33	0.0	3.33	6.67	3.33	3.33	0.0	16.67	6.67	0.0	0.0	3.33	0.0	0.0	0.0	0.0	43.33	0.0	3.33	0.0	0.0	0.0	0.0	6.67	0.0	3.33	0.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	16.67	6.67	10.00	20.00	0.0	13.33	0.0	0.0	3.33	0.0	10.00	20.00	6.67	0.0	0.0	3.33	3.33	10.00	0.0	0.0	3.33
DAVID	10	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	10.00	0.0	0.0	0.0	0.0	30.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.00	10.00	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	10.00	10.00	0.0	0.0	0.0	0.0	0.0	20.00	10.00	10.00	30.00	0.0	10.00	0.0	10.00	0.0	0.0	10.00	20.00	10.00	0.0	0.0	0.0	0.0	30.00	0.0	0.0	0.0
DAVID	12	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	8.33	0.0	0.0	0.0	8.33	0.0	16.67	0.0	0.0	0.0	0.0	8.33	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.00	0.0	0.0	0.0	0.0	0.0	33.33	8.33	0.0	0.0	0.0	0.0	8.33	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.67	8.33	16.67	41.67	0.0	8.33	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	8.33	0.0	0.0
2/12/09 2.	4	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0
ovation.	175	175.0	4.00	0.0	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	21.14	1.14	1.71	4.00	0.0	1.14	9.14	0.0	1.14	2.86	1.71	1.71	0.57	10.29	2.29	0.0	0.57	0.0	0.0	1.14	0.0	0.0	43.43	0.0	0.57	2.86	0.0	1.71	0.0	3.43	0.57	0.0	2.29	1.71	2.29	0.57	4.00	0.0	1.14	0.0	0.0	0.0	6.29	2.86	10.86	17.14	8.00	12.57	1.71	14.29	0.57	0.0	2.29	0.0	8.00	17.14	6.86	0.0	2.29	2.86	2.29	8.00	0.0	0.57	0.0
DAVID	38	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.16	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.0	5.26	2.63	0.0	0.0	10.53	2.63	0.0	0.0	0.0	2.63	5.26	0.0	0.0	28.95	0.0	0.0	0.0	0.0	2.63	0.0	5.26	2.63	2.63	2.63	2.63	0.0	0.0	2.63	0.0	0.0	0.0	5.26	0.0	5.26	0.0	5.26	10.53	2.63	7.89	0.0	23.68	0.0	0.0	0.0	0.0	5.26	10.53	10.53	0.0	0.0	0.0	10.53	2.63	0.0	5.26	0.0
CHARLIE	61	61.0	1.64	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	4.92	0.0	0.0	3.28	1.64	0.0	3.28	0.0	9.84	6.56	3.28	1.64	0.0	9.84	4.92	0.0	0.0	0.0	0.0	4.92	0.0	0.0	57.38	0.0	0.0	1.64	1.64	0.0	1.64	6.56	3.28	1.64	0.0	4.92	1.64	1.64	3.28	0.0	1.64	0.0	1.64	1.64	6.56	1.64	11.48	19.67	11.48	16.39	1.64	18.03	1.64	0.0	0.0	0.0	4.92	9.84	9.84	1.64	0.0	0.0	4.92	14.75	1.64	0.0	3.28
DAVID	9	9.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	11.11	0.0	0.0	0.0	22.22	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	66.67	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	11.11	0.0	0.0	11.11	11.11	0.0	11.11	11.11	11.11	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	0.0	0.0	11.11	0.0	0.0	0.0
MOOD)	45	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.56	0.0	0.0	4.44	4.44	0.0	13.33	0.0	11.11	4.44	0.0	2.22	2.22	13.33	4.44	0.0	0.0	0.0	0.0	2.22	0.0	0.0	62.22	2.22	4.44	0.0	0.0	2.22	4.44	6.67	0.0	0.0	2.22	2.22	0.0	0.0	2.22	2.22	4.44	0.0	6.67	0.0	4.44	0.0	11.11	15.56	15.56	13.33	2.22	17.78	0.0	0.0	2.22	0.0	2.22	8.89	11.11	2.22	2.22	0.0	4.44	20.00	4.44	2.22	0.0
CHARLIE	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAVID	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHARLIE	14	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	7.14	0.0	0.0	7.14	0.0	7.14	7.14	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	7.14	7.14	14.29	7.14	7.14	0.0	28.57	0.0	0.0	0.0	0.0	0.0	7.14	14.29	0.0	0.0	0.0	14.29	7.14	0.0	0.0	7.14
BLACK SCREEN	11	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.55	0.0	0.0	27.27	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	27.27	0.0	0.0	9.09	0.0	0.0	9.09	27.27	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	18.18	0.0	0.0	9.09	0.0
CAMPAIGN AIDE.	8	8.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0
CHARLIE	17	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.53	0.0	5.88	17.65	5.88	0.0	17.65	0.0	11.76	11.76	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.06	0.0	11.76	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65	0.0	0.0	11.76	0.0	0.0	11.76	5.88	11.76	11.76	0.0	5.88	5.88	0.0	0.0	0.0	0.0	17.65	5.88	5.88	0.0	0.0	0.0	23.53	11.76	0.0	0.0
