SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
To establish.	22	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	31.82	0.0	0.0	4.55	0.0	0.0	18.18	0.0	0.0	0.0	0.0	0.0	0.0	18.18	4.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.82	0.0	0.0	0.0	0.0	0.0	0.0	13.64	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	9.09	4.55	0.0	0.0	13.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	4.55	4.55	0.0	9.09	0.0
PRINCIPAL SNUR	31	31.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	25.81	0.0	9.68	19.35	0.0	0.0	6.45	0.0	9.68	0.0	0.0	0.0	3.23	6.45	0.0	0.0	0.0	0.0	0.0	6.45	0.0	0.0	41.94	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	3.23	0.0	9.68	3.23	0.0	0.0	0.0	0.0	3.23	0.0	3.23	12.90	19.35	3.23	3.23	9.68	12.90	3.23	9.68	0.0	0.0	6.45	0.0	0.0	9.68	6.45	0.0	0.0	0.0	3.23	12.90	0.0	3.23	3.23
SANDY	10	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	20.00	0.0	10.00	10.00	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	60.00	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	20.00	10.00	0.0	0.0	0.0	0.0	10.00	10.00	10.00	10.00	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	10.00	0.0
PRINCIPAL SNUR	5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	20.00	0.0	20.00	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	20.00	20.00	0.0	0.0	20.00	0.0	0.0	0.0	0.0	60.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	20.00	0.0
VOICE	41	41.0	2.44	0.0	0.0	0.0	2.44	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	14.63	0.0	4.88	2.44	0.0	0.0	0.0	0.0	9.76	2.44	0.0	0.0	0.0	12.20	4.88	0.0	0.0	2.44	0.0	0.0	0.0	0.0	46.34	2.44	0.0	2.44	0.0	4.88	2.44	4.88	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	2.44	0.0	2.44	2.44	9.76	9.76	9.76	12.20	2.44	7.32	0.0	0.0	0.0	2.44	7.32	14.63	2.44	0.0	4.88	0.0	4.88	12.20	0.0	4.88	0.0
AMY	31	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.90	3.23	9.68	0.0	0.0	0.0	9.68	3.23	6.45	6.45	3.23	3.23	0.0	16.13	3.23	0.0	3.23	6.45	0.0	0.0	0.0	0.0	67.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	6.45	0.0	12.90	3.23	0.0	0.0	3.23	0.0	3.23	0.0	3.23	3.23	0.0	9.68	16.13	9.68	22.58	3.23	12.90	0.0	0.0	3.23	0.0	0.0	12.90	6.45	0.0	0.0	3.23	6.45	16.13	3.23	6.45	3.23
PRINCIPAL SNUR	28	28.0	3.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	0.0	0.0	0.0	17.86	3.57	0.0	7.14	0.0	0.0	14.29	0.0	0.0	3.57	3.57	0.0	0.0	7.14	3.57	0.0	0.0	3.57	0.0	3.57	0.0	0.0	32.14	0.0	0.0	0.0	0.0	3.57	0.0	3.57	0.0	0.0	0.0	0.0	3.57	0.0	3.57	0.0	0.0	0.0	0.0	0.0	3.57	7.14	0.0	14.29	3.57	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	3.57	3.57	0.0	3.57	0.0	0.0	3.57	0.0	14.29	0.0
PRINCIPAL SNUR	30	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.33	0.0	10.00	0.0	0.0	0.0	6.67	0.0	6.67	0.0	0.0	0.0	0.0	10.00	13.33	0.0	0.0	10.00	0.0	0.0	0.0	0.0	70.00	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	6.67	0.0	6.67	23.33	6.67	13.33	3.33	16.67	0.0	0.0	0.0	0.0	0.0	13.33	3.33	0.0	0.0	0.0	13.33	6.67	6.67	6.67	0.0
PRINCIPAL SNUR	32	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.75	0.0	3.12	6.25	0.0	0.0	12.50	0.0	12.50	0.0	0.0	0.0	3.12	15.62	3.12	0.0	0.0	3.12	3.12	0.0	0.0	0.0	59.38	3.12	0.0	0.0	3.12	0.0	0.0	3.12	0.0	0.0	6.25	3.12	3.12	0.0	0.0	0.0	0.0	0.0	3.12	3.12	0.0	6.25	15.62	9.38	9.38	18.75	3.12	9.38	0.0	0.0	0.0	0.0	0.0	21.88	3.12	0.0	0.0	0.0	6.25	18.75	3.12	3.12	12.50
PRINCIPAL SNUR	24	24.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	4.17	4.17	0.0	0.0	20.83	8.33	0.0	0.0	4.17	0.0	4.17	0.0	0.0	45.83	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	8.33	0.0	0.0	4.17	0.0	0.0	0.0	0.0	4.17	4.17	0.0	12.50	4.17	0.0	20.83	0.0	12.50	0.0	0.0	0.0	0.0	4.17	12.50	8.33	0.0	4.17	0.0	0.0	4.17	4.17	4.17	4.17
