SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
VOICE-OVER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	9.80	0.98	0.0	0.0	10.78	0.0	7.84	0.0	0.0	2.94	0.98	19.61	5.88	0.0	1.96	2.94	0.98	0.0	0.0	0.0	69.61	0.98	0.0	0.0	0.0	0.98	3.92	2.94	0.0	0.0	1.96	7.84	0.0	0.0	0.98	2.94	0.0	0.0	0.98	8.82	0.0	0.98	11.76	11.76	5.88	19.61	5.88	12.75	0.0	0.0	0.0	0.0	6.86	14.71	5.88	0.0	3.92	0.0	4.90	15.69	0.0	0.0	0.98
VOICE-OVER	0.0	0.90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.21	0.90	5.41	3.60	0.90	0.0	4.50	0.0	9.91	0.90	0.90	0.90	3.60	16.22	9.91	0.90	0.0	2.70	0.90	0.0	0.0	0.0	63.06	1.80	0.0	1.80	0.0	0.0	14.41	4.50	0.0	0.0	0.90	4.50	0.0	0.0	0.0	6.31	0.90	0.0	0.0	4.50	6.31	2.70	18.02	14.41	7.21	22.52	2.70	9.01	1.80	0.0	4.50	0.0	0.90	9.01	5.41	0.90	2.70	0.90	3.60	14.41	0.0	0.0	1.80
VOICE-OVER	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	2.08	20.83	4.17	0.0	0.0	14.58	0.0	10.42	2.08	2.08	0.0	0.0	14.58	2.08	0.0	0.0	2.08	0.0	0.0	0.0	0.0	68.75	2.08	0.0	2.08	0.0	4.17	6.25	4.17	0.0	2.08	0.0	8.33	0.0	0.0	2.08	2.08	2.08	0.0	2.08	4.17	4.17	2.08	8.33	12.50	8.33	16.67	2.08	18.75	0.0	2.08	2.08	0.0	0.0	12.50	4.17	0.0	4.17	0.0	12.50	14.58	2.08	0.0	0.0
VOICE-OVER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45	0.0	16.13	0.0	0.0	0.0	12.90	0.0	12.90	0.0	0.0	0.0	0.0	6.45	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.97	0.0	0.0	0.0	0.0	6.45	6.45	3.23	0.0	0.0	0.0	9.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.35	12.90	12.90	29.03	0.0	19.35	0.0	0.0	0.0	0.0	12.90	22.58	12.90	0.0	3.23	0.0	6.45	12.90	0.0	0.0	0.0
GEORGE BUSH	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	11.11	0.0	0.0	11.11	11.11	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	66.67	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	22.22	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0
VOICE-OVER	5.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.00	0.0	0.0	0.0	20.00	10.00	5.00	15.00	0.0	0.0	15.00	0.0	10.00	0.0	0.0	0.0	5.00	20.00	10.00	0.0	5.00	5.00	0.0	0.0	0.0	0.0	55.00	0.0	0.0	0.0	0.0	5.00	0.0	5.00	0.0	0.0	0.0	5.00	0.0	0.0	0.0	0.0	10.00	0.0	0.0	5.00	0.0	5.00	10.00	5.00	5.00	15.00	0.0	5.00	0.0	0.0	0.0	0.0	10.00	15.00	5.00	0.0	10.00	0.0	0.0	10.00	0.0	0.0	0.0
VOICE-OVER	15.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.79	0.0	0.0	0.0	21.05	5.26	21.05	5.26	0.0	0.0	15.79	0.0	15.79	0.0	0.0	0.0	0.0	15.79	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	57.89	5.26	0.0	0.0	0.0	10.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	5.26	10.53	10.53	5.26	0.0	26.32	0.0	0.0	0.0	0.0	5.26	15.79	15.79	0.0	10.53	0.0	10.53	15.79	0.0	0.0	0.0
VOICE-OVER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	7.14	7.14	14.29	7.14	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	14.29	7.14	0.0	0.0	7.14	0.0	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	21.43	0.0	0.0	21.43	7.14	0.0	21.43	7.14	7.14	7.14	7.14	0.0	0.0	7.14	7.14	7.14	7.14	0.0	0.0	0.0	21.43	0.0	0.0	0.0
DUDE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	33.33	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	66.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
VOICE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	8.33	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	16.67	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	8.33	0.0	0.0	0.0	8.33	0.0	0.0	0.0	16.67	0.0	8.33	0.0	0.0	0.0	0.0	0.0	16.67	8.33	8.33	16.67	8.33	8.33	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	25.00	8.33	0.0	8.33
