SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
PETER	3.17	0.0	0.0	0.0	3.17	0.0	6.35	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	3.17	0.0	0.0	12.70	1.59	6.35	1.59	1.59	0.0	0.0	7.94	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	46.03	0.0	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	4.76	4.76	0.0	0.0	3.17	0.0	0.0	0.0	0.0	0.0	6.35	3.17	9.52	12.70	12.70	14.29	0.0	19.05	1.59	0.0	1.59	0.0	0.0	9.52	12.70	0.0	0.0	0.0	3.17	12.70	3.17	0.0	6.35
FEMALE AIDE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	5.88	0.0	0.0	0.0	0.0	17.65	0.0	0.0	0.0	0.0	0.0	0.0	11.76	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.06	0.0	0.0	0.0	0.0	5.88	0.0	5.88	0.0	5.88	0.0	0.0	0.0	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	17.65	5.88	5.88	0.0	23.53	0.0	0.0	0.0	0.0	5.88	11.76	11.76	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0
VARIOUS WAITERS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.67	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	6.67	0.0	6.67	20.00	6.67	6.67	6.67	13.33	0.0	0.0	6.67	0.0	0.0	6.67	6.67	0.0	0.0	6.67	0.0	6.67	0.0	0.0	0.0
soda water.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.79	2.63	2.63	2.63	0.0	0.0	15.79	0.0	0.0	0.0	0.0	2.63	0.0	15.79	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37	0.0	0.0	0.0	0.0	2.63	0.0	5.26	0.0	7.89	0.0	0.0	0.0	0.0	7.89	0.0	0.0	0.0	0.0	0.0	2.63	2.63	5.26	13.16	0.0	5.26	5.26	21.05	0.0	0.0	2.63	0.0	2.63	10.53	7.89	0.0	0.0	2.63	5.26	0.0	0.0	2.63	0.0
ELEVATOR DOORS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.71	0.0	0.0	0.0	0.0	0.0	2.94	0.0	2.94	2.94	2.94	5.88	0.0	23.53	11.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.94	0.0	0.0	0.0	0.0	0.0	0.0	14.71	0.0	0.0	0.0	2.94	0.0	0.0	14.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.76	14.71	2.94	14.71	8.82	26.47	0.0	0.0	0.0	0.0	5.88	11.76	11.76	0.0	2.94	5.88	0.0	2.94	0.0	0.0	0.0
FALLOW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.50	0.0	0.0	0.0	0.0	0.0	12.50	0.0	12.50	0.0	0.0	12.50	0.0	37.50	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.50	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	12.50	0.0	0.0	37.50	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	12.50	12.50	0.0	0.0	0.0
and we...	20.00	0.0	0.0	0.0	20.00	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0
PETER	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	15.38	0.0	0.0	0.0	0.0	0.0	0.0	7.69	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.85	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	7.69	7.69	7.69	38.46	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	30.77	7.69	0.0	0.0	0.0
SHERMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	33.33	0.0	0.0	77.78	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
SHERMAN	
