SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.15	0.0	6.06	6.06	0.0	3.03	3.03	0.0	12.12	0.0	0.0	0.0	3.03	18.18	9.09	3.03	0.0	3.03	0.0	0.0	0.0	0.0	60.61	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	0.0	6.06	9.09	0.0	0.0	0.0	0.0	6.06	0.0	0.0	3.03	6.06	0.0	15.15	12.12	12.12	24.24	3.03	6.06	0.0	0.0	0.0	0.0	15.15	18.18	6.06	0.0	3.03	0.0	0.0	15.15	0.0	0.0	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.77	2.27	1.14	3.41	2.27	0.0	12.50	1.14	1.14	3.41	3.41	1.14	2.27	10.23	5.68	4.55	0.0	0.0	0.0	2.27	0.0	0.0	53.41	0.0	0.0	0.0	0.0	0.0	3.41	5.68	0.0	1.14	0.0	1.14	0.0	0.0	1.14	1.14	2.27	1.14	1.14	0.0	2.27	1.14	9.09	20.45	1.14	10.23	2.27	14.77	1.14	0.0	0.0	0.0	5.68	7.95	13.64	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0
PAUL	0.38	0.0	0.0	0.0	0.38	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	16.54	4.23	5.00	5.38	0.77	0.77	10.00	0.0	4.23	5.38	4.62	1.92	1.54	11.15	3.08	2.31	0.38	0.77	0.0	1.92	0.0	0.0	53.08	0.0	0.77	0.0	0.0	0.0	0.38	3.08	0.0	0.77	0.77	3.46	0.38	0.0	1.15	0.38	1.92	0.0	0.77	0.0	4.23	3.46	12.69	13.46	7.69	16.15	3.08	14.62	0.0	0.0	2.31	0.0	11.92	13.08	9.23	0.0	2.31	0.0	4.23	8.85	0.38	0.77	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.91	2.17	1.09	5.43	1.09	1.09	13.04	0.0	6.52	4.35	4.35	0.0	3.26	5.43	1.09	2.17	0.0	0.0	0.0	1.09	0.0	0.0	50.00	0.0	0.0	5.43	0.0	0.0	0.0	2.17	0.0	0.0	0.0	4.35	0.0	0.0	1.09	0.0	4.35	0.0	0.0	0.0	11.96	1.09	6.52	17.39	9.78	10.87	2.17	10.87	0.0	1.09	3.26	0.0	5.43	8.70	5.43	0.0	0.0	0.0	4.35	9.78	1.09	1.09	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.43	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	28.57	0.0	0.0	28.57	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	28.57	28.57	28.57	0.0	57.14	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	42.86	0.0	0.0	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	10.00	10.00	0.0	20.00	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	80.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	10.00	10.00	0.0	0.0	0.0	0.0	0.0	0.0	20.00	10.00	10.00	0.0	20.00	10.00	0.0	0.0	0.0	0.0	10.00	20.00	10.00	0.0	0.0	0.0	10.00	0.0	0.0	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	5.66	0.0	0.0	0.0	0.0	0.0	0.0	16.98	0.0	5.66	3.77	0.0	1.89	9.43	0.0	0.0	3.77	3.77	1.89	0.0	18.87	5.66	1.89	0.0	1.89	0.0	1.89	0.0	0.0	43.40	0.0	0.0	0.0	0.0	1.89	3.77	5.66	0.0	0.0	1.89	3.77	1.89	0.0	1.89	0.0	1.89	0.0	0.0	0.0	1.89	1.89	9.43	9.43	3.77	13.21	0.0	13.21	0.0	0.0	0.0	0.0	5.66	18.87	5.66	0.0	5.66	0.0	5.66	3.77	0.0	1.89	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.81	0.0	4.76	0.0	0.0	0.0	19.05	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	47.62	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.0	4.76	0.0	0.0	0.0	0.0	4.76	4.76	0.0	0.0	0.0	0.0	0.0	0.0	4.76	14.29	4.76	4.76	0.0	23.81	0.0	0.0	0.0	0.0	4.76	4.76	9.52	0.0	0.0	0.0	9.52	4.76	0.0	0.0	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAUL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	6.67	6.67	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	86.67	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	46.67	13.33	33.33	46.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.67	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	13.33
