SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
MR. STILLINGS	7	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	14.29	28.57	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SINCLAIR	4	4.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0
IN "HAPPINESS")	15	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	13.33	6.67	0.0	13.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.33	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	6.67	0.0	13.33	0.0	0.0	0.0	6.67	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.33	0.0	26.67	0.0	6.67	0.0	33.33	0.0	0.0	0.0	0.0	0.0	6.67	20.00	0.0	0.0	0.0	13.33	0.0	0.0	6.67	0.0
SINCLAIR	5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	40.00	0.0	20.00	40.00	0.0	20.00	0.0	0.0	0.0	0.0	20.00	60.00	0.0	0.0	0.0	0.0	20.00	40.00	0.0	0.0	20.00
MR. STILLINGS	9	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	11.11	11.11	0.0	11.11	0.0	0.0	22.22	0.0	0.0	0.0	0.0	22.22	11.11	0.0	0.0	22.22	0.0	0.0	0.0	0.0	77.78	11.11	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	11.11	0.0	0.0	0.0	0.0	0.0	33.33	0.0	11.11	33.33	0.0	11.11	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	11.11	22.22	0.0	0.0	11.11
SINCLAIR	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	50.00	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00
HONEY	68	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.06	1.47	1.47	5.88	1.47	0.0	8.82	1.47	7.35	2.94	2.94	0.0	1.47	7.35	4.41	0.0	0.0	0.0	0.0	4.41	0.0	1.47	48.53	0.0	0.0	0.0	1.47	0.0	0.0	4.41	0.0	0.0	1.47	4.41	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	10.29	4.41	8.82	13.24	7.35	13.24	1.47	14.71	0.0	0.0	4.41	0.0	8.82	11.76	8.82	0.0	0.0	0.0	4.41	7.35	0.0	7.35	0.0
HONEY	28	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.43	3.57	7.14	3.57	0.0	0.0	7.14	0.0	3.57	0.0	0.0	0.0	7.14	14.29	3.57	0.0	3.57	3.57	0.0	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	0.0	3.57	0.0	0.0	0.0	0.0	3.57	0.0	0.0	3.57	3.57	0.0	0.0	0.0	0.0	0.0	3.57	10.71	17.86	10.71	14.29	7.14	17.86	0.0	0.0	0.0	0.0	0.0	14.29	10.71	0.0	0.0	0.0	3.57	10.71	0.0	0.0	7.14
MR. STILLINGS	39	39.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	12.82	0.0	2.56	5.13	0.0	0.0	7.69	0.0	7.69	0.0	0.0	0.0	7.69	23.08	5.13	0.0	2.56	2.56	0.0	0.0	0.0	0.0	51.28	0.0	0.0	2.56	0.0	2.56	2.56	5.13	0.0	0.0	2.56	0.0	5.13	0.0	0.0	0.0	2.56	0.0	2.56	0.0	2.56	2.56	7.69	15.38	10.26	7.69	5.13	17.95	0.0	2.56	0.0	0.0	5.13	10.26	12.82	0.0	0.0	0.0	0.0	12.82	0.0	0.0	0.0
HONEY	23	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.70	0.0	0.0	13.04	4.35	0.0	8.70	0.0	8.70	0.0	0.0	0.0	0.0	4.35	4.35	0.0	0.0	0.0	0.0	4.35	0.0	4.35	47.83	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	4.35	0.0	0.0	4.35	0.0	13.04	0.0	0.0	4.35	13.04	0.0	8.70	13.04	17.39	13.04	0.0	17.39	0.0	8.70	4.35	0.0	4.35	13.04	8.70	0.0	0.0	4.35	4.35	21.74	0.0	4.35	0.0
HONEY	21	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	4.76	14.29	9.52	0.0	9.52	0.0	4.76	9.52	0.0	0.0	0.0	9.52	4.76	0.0	4.76	4.76	0.0	0.0	0.0	0.0	61.90	4.76	4.76	0.0	0.0	0.0	23.81	0.0	0.0	0.0	4.76	0.0	0.0	0.0	0.0	0.0	14.29	0.0	4.76	0.0	0.0	0.0	23.81	9.52	14.29	23.81	4.76	4.76	0.0	0.0	0.0	4.76	0.0	4.76	0.0	9.52	4.76	0.0	4.76	19.05	0.0	0.0	0.0
