SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
GROGGY WOMAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	50.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	50.00
GROGGY MAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	100.00	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	100.00	0.0	0.0	0.0	100.00	0.0	0.0	0.0
DAVE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEASE DON'T--	1.61	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.90	0.0	3.23	0.0	0.0	0.0	14.52	0.0	1.61	3.23	0.0	1.61	1.61	14.52	8.06	0.0	1.61	3.23	0.0	0.0	0.0	1.61	50.00	0.0	3.23	0.0	0.0	1.61	0.0	6.45	0.0	0.0	0.0	4.84	0.0	0.0	1.61	1.61	0.0	0.0	0.0	0.0	4.84	0.0	3.23	14.52	1.61	8.06	1.61	12.90	0.0	0.0	3.23	0.0	1.61	6.45	8.06	0.0	3.23	0.0	1.61	1.61	0.0	1.61	1.61
DAVE	5.71	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.0	2.86	0.0	0.0	0.0	17.14	0.0	2.86	2.86	0.0	0.0	2.86	0.0	14.29	2.86	2.86	5.71	0.0	5.71	5.71	0.0	0.0	0.0	2.86	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	2.86	2.86	0.0	0.0	0.0	2.86	0.0	2.86	20.00	11.43	11.43	22.86	0.0	22.86	0.0	0.0	0.0	0.0	20.00	22.86	11.43	0.0	0.0	0.0	8.57	14.29	0.0	0.0	0.0
DAVE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	6.25	6.25	0.0	0.0	9.38	0.0	6.25	3.12	3.12	3.12	0.0	15.62	6.25	0.0	0.0	0.0	0.0	3.12	0.0	3.12	50.00	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	9.38	0.0	0.0	6.25	0.0	0.0	0.0	0.0	6.25	3.12	6.25	9.38	12.50	6.25	18.75	0.0	15.62	0.0	0.0	0.0	0.0	3.12	15.62	9.38	0.0	0.0	0.0	0.0	12.50	6.25	0.0	0.0
changing table...	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	0.0	0.0	0.0	22.45	2.04	12.24	2.04	0.0	0.0	2.04	0.0	6.12	6.12	6.12	0.0	2.04	16.33	2.04	0.0	0.0	2.04	4.08	2.04	0.0	0.0	55.10	0.0	0.0	0.0	0.0	0.0	0.0	6.12	0.0	2.04	2.04	12.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08	2.04	8.16	16.33	6.12	20.41	2.04	22.45	0.0	0.0	2.04	0.0	8.16	12.24	16.33	0.0	2.04	0.0	6.12	6.12	0.0	0.0	0.0
DAVE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAVE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	12.50	12.50	12.50	0.0	0.0	25.00	37.50	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	12.50	25.00	12.50	0.0	12.50	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.50	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0
MAGNUM, P.I.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.78	0.0	2.22	8.89	0.0	2.22	6.67	2.22	2.22	13.33	6.67	0.0	2.22	11.11	8.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.89	0.0	2.22	0.0	0.0	0.0	0.0	8.89	2.22	0.0	0.0	2.22	4.44	0.0	4.44	2.22	6.67	0.0	0.0	0.0	6.67	2.22	8.89	13.33	2.22	11.11	2.22	17.78	0.0	4.44	6.67	2.22	6.67	8.89	6.67	0.0	0.0	0.0	6.67	2.22	0.0	0.0	2.22
DAVE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	6.67	0.0	0.0	6.67	0.0	6.67	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.67	0.0	0.0	0.0	0.0	0.0	13.33	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	20.00	13.33	13.33	20.00	0.0	13.33	0.0	6.67	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	13.33	13.33	0.0	6.67	6.67
