SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
KAREN CROSS	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	12.50	0.0	6.25	0.0	0.0	0.0	18.75	0.0	12.50	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	18.75	12.50	12.50	0.0	31.25	0.0	0.0	0.0	0.0	0.0	12.50	18.75	0.0	0.0	12.50	6.25	12.50	0.0	6.25	0.0
KAREN CROSS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.70	0.0	0.0	8.70	0.0	0.0	4.35	4.35	21.74	0.0	0.0	0.0	0.0	17.39	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.52	0.0	0.0	0.0	0.0	0.0	4.35	13.04	0.0	0.0	4.35	0.0	0.0	0.0	4.35	0.0	8.70	0.0	0.0	4.35	0.0	0.0	13.04	8.70	17.39	13.04	4.35	17.39	4.35	0.0	0.0	0.0	4.35	8.70	13.04	0.0	0.0	0.0	0.0	21.74	4.35	13.04	0.0
KAREN CROSS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.88	1.56	0.0	1.56	0.0	0.0	6.25	0.0	7.81	0.0	0.0	0.0	0.0	6.25	1.56	1.56	1.56	0.0	0.0	0.0	0.0	0.0	39.06	0.0	0.0	0.0	0.0	0.0	0.0	3.12	0.0	1.56	0.0	4.69	0.0	1.56	1.56	0.0	0.0	0.0	1.56	4.69	0.0	1.56	1.56	15.62	4.69	6.25	0.0	12.50	0.0	0.0	0.0	0.0	1.56	4.69	6.25	0.0	0.0	0.0	4.69	9.38	0.0	6.25	0.0
JENKINS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.15	0.0	6.38	0.0	0.0	0.0	10.64	0.0	12.77	0.0	0.0	2.13	0.0	19.15	6.38	0.0	0.0	4.26	0.0	0.0	0.0	0.0	57.45	0.0	0.0	0.0	0.0	6.38	0.0	6.38	0.0	4.26	2.13	4.26	0.0	2.13	2.13	6.38	0.0	0.0	0.0	2.13	0.0	0.0	4.26	8.51	12.77	8.51	2.13	8.51	0.0	0.0	0.0	0.0	0.0	17.02	4.26	0.0	0.0	0.0	2.13	17.02	0.0	0.0	4.26
KAREN CROSS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17	0.0	33.33	4.17	0.0	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	20.83	0.0	0.0	0.0	4.17	0.0	0.0	0.0	4.17	33.33	0.0	0.0	0.0	0.0	4.17	0.0	0.0	0.0	4.17	4.17	4.17	0.0	4.17	0.0	4.17	0.0	0.0	0.0	4.17	0.0	0.0	4.17	12.50	0.0	8.33	8.33	12.50	0.0	0.0	0.0	0.0	4.17	8.33	4.17	0.0	0.0	0.0	8.33	4.17	0.0	12.50	0.0
LOREN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	5.26	0.0	5.26	15.79	15.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	52.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	5.26	5.26	0.0	0.0	0.0	0.0	5.26	0.0	10.53	15.79	5.26	15.79	0.0	42.11	0.0	0.0	0.0	0.0	0.0	10.53	10.53	0.0	0.0	0.0	15.79	5.26	0.0	0.0	10.53
LORENZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	16.67	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	83.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	16.67	16.67	50.00	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	16.67
LORENZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.70	0.0	3.70	7.41	0.0	0.0	7.41	0.0	11.11	0.0	0.0	3.70	3.70	18.52	7.41	0.0	3.70	11.11	0.0	0.0	0.0	0.0	66.67	3.70	0.0	7.41	0.0	0.0	7.41	0.0	0.0	0.0	0.0	7.41	0.0	3.70	0.0	7.41	7.41	0.0	0.0	0.0	7.41	0.0	22.22	3.70	7.41	29.63	0.0	7.41	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	3.70	0.0	7.41	14.81	0.0	0.0	14.81
LORENZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	11.11	0.0	11.11	22.22	0.0	0.0	0.0	0.0	55.56	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	11.11	0.0	22.22	11.11	22.22	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	11.11	0.0	0.0	22.22	0.0	0.0	22.22
LORENZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	20.00	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.00	10.00	0.0	10.00	0.0	0.0	10.00	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	20.00	0.0	0.0	10.00	10.00	10.00	0.0	20.00	0.0	10.00	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.00	0.0	0.0	0.0	0.0	0.0	30.00	0.0	0.0	10.00
