SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
NARRATOR	67	67.0	2.99	0.0	0.0	0.0	2.99	0.0	1.49	0.0	0.0	0.0	0.0	0.0	0.0	31.34	2.99	4.48	1.49	0.0	0.0	2.99	0.0	5.97	0.0	0.0	0.0	0.0	5.97	2.99	1.49	0.0	0.0	1.49	0.0	0.0	0.0	40.30	1.49	0.0	0.0	1.49	0.0	0.0	2.99	0.0	1.49	1.49	2.99	0.0	0.0	0.0	0.0	0.0	0.0	2.99	1.49	0.0	1.49	2.99	10.45	2.99	5.97	4.48	11.94	0.0	0.0	0.0	0.0	1.49	4.48	5.97	0.0	0.0	0.0	5.97	7.46	1.49	0.0	0.0
NARRATOR	147	147.0	3.40	0.0	0.0	0.0	3.40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.45	3.40	3.40	7.48	0.68	0.68	9.52	0.0	1.36	0.68	0.0	0.0	1.36	12.24	6.12	0.68	0.0	2.04	0.0	0.0	0.0	0.0	45.58	0.0	0.0	0.68	0.68	0.68	0.0	4.08	0.0	0.0	0.0	2.04	0.68	0.0	2.04	3.40	2.72	0.0	3.40	4.76	0.68	4.76	3.40	13.61	1.36	5.44	2.04	14.97	0.0	1.36	0.0	0.68	1.36	8.16	3.40	0.0	2.72	2.04	8.84	6.12	0.0	4.08	0.0
NARRATOR	96	96.0	1.04	0.0	0.0	0.0	1.04	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	27.08	1.04	1.04	6.25	0.0	0.0	15.62	0.0	2.08	1.04	0.0	2.08	0.0	4.17	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.75	0.0	0.0	0.0	2.08	0.0	2.08	0.0	1.04	2.08	0.0	2.08	3.12	3.12	1.04	0.0	2.08	0.0	5.21	2.08	1.04	4.17	2.08	15.62	1.04	4.17	0.0	13.54	0.0	2.08	1.04	0.0	0.0	0.0	7.29	0.0	0.0	0.0	4.17	3.12	0.0	2.08	0.0
NARRATOR	34	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	0.0	14.71	0.0	0.0	5.88	2.94	0.0	8.82	0.0	0.0	0.0	0.0	2.94	0.0	5.88	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.35	0.0	0.0	0.0	0.0	2.94	0.0	0.0	0.0	0.0	2.94	0.0	0.0	2.94	2.94	0.0	2.94	0.0	2.94	2.94	0.0	2.94	2.94	17.65	0.0	2.94	0.0	29.41	0.0	0.0	0.0	0.0	2.94	5.88	8.82	0.0	0.0	0.0	17.65	2.94	0.0	2.94	0.0
THATCHER	6	6.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	50.00	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0
INVESTIGATOR	16	16.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	6.25	0.0	0.0	0.0	6.25	0.0	18.75	0.0	0.0	0.0	6.25	12.50	6.25	0.0	0.0	6.25	0.0	0.0	0.0	0.0	75.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.75	0.0	0.0	6.25	6.25	0.0	0.0	0.0	6.25	6.25	0.0	6.25	12.50	18.75	25.00	0.0	12.50	0.0	0.0	6.25	0.0	0.0	6.25	6.25	0.0	0.0	0.0	0.0	25.00	0.0	0.0	6.25
THATCHER	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	50.00	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
INVESTIGATOR	6	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	16.67	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
THATCHER	33	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.18	3.03	0.0	3.03	0.0	0.0	3.03	3.03	15.15	0.0	0.0	0.0	0.0	6.06	0.0	0.0	6.06	0.0	0.0	0.0	0.0	0.0	51.52	3.03	0.0	0.0	0.0	6.06	6.06	0.0	0.0	0.0	0.0	12.12	0.0	3.03	0.0	0.0	0.0	0.0	0.0	12.12	0.0	3.03	12.12	9.09	6.06	24.24	0.0	3.03	0.0	0.0	0.0	0.0	6.06	12.12	0.0	0.0	0.0	0.0	3.03	21.21	0.0	0.0	0.0
NARRATOR	6	6.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	16.67	0.0	16.67	16.67	33.33	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0
