SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
TITLE SEQUENCE.	71	71.0	0.0	0.0	0.0	0.0	0.0	0.0	7.04	0.0	0.0	0.0	0.0	0.0	0.0	8.45	0.0	0.0	0.0	0.0	0.0	8.45	0.0	2.82	0.0	0.0	0.0	0.0	12.68	5.63	0.0	0.0	0.0	8.45	0.0	0.0	1.41	47.89	0.0	0.0	0.0	1.41	1.41	0.0	9.86	0.0	0.0	1.41	4.23	1.41	0.0	5.63	0.0	0.0	0.0	2.82	0.0	1.41	0.0	8.45	14.08	4.23	12.68	1.41	16.90	0.0	0.0	1.41	0.0	1.41	19.72	7.04	0.0	1.41	5.63	4.23	5.63	1.41	0.0	0.0
HASARI	92	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.87	0.0	4.35	1.09	1.09	0.0	6.52	0.0	7.61	2.17	1.09	0.0	1.09	9.78	4.35	0.0	2.17	1.09	6.52	1.09	0.0	0.0	56.52	2.17	1.09	2.17	0.0	3.26	2.17	4.35	0.0	2.17	0.0	2.17	1.09	1.09	2.17	3.26	1.09	0.0	0.0	0.0	5.43	0.0	18.48	15.22	7.61	20.65	1.09	13.04	0.0	0.0	2.17	0.0	10.87	30.43	5.43	0.0	0.0	2.17	4.35	11.96	0.0	0.0	3.26
CONTINUED	69	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.49	0.0	4.35	4.35	0.0	0.0	11.59	0.0	5.80	0.0	0.0	0.0	0.0	5.80	4.35	0.0	1.45	1.45	4.35	0.0	0.0	0.0	47.83	0.0	0.0	0.0	0.0	11.59	1.45	2.90	0.0	0.0	0.0	4.35	0.0	0.0	2.90	1.45	4.35	0.0	0.0	0.0	0.0	0.0	7.25	11.59	11.59	11.59	0.0	15.94	0.0	1.45	0.0	0.0	4.35	23.19	4.35	0.0	0.0	0.0	8.70	11.59	0.0	0.0	1.45
MANOOJ	108	108.0	1.85	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.81	1.85	3.70	3.70	0.0	0.0	11.11	0.0	3.70	1.85	0.0	0.0	0.93	17.59	11.11	1.85	0.93	2.78	0.0	0.93	0.0	1.85	51.85	0.0	1.85	4.63	0.0	0.93	0.0	11.11	0.0	0.93	1.85	3.70	0.0	1.85	3.70	0.93	0.0	0.0	0.93	1.85	10.19	3.70	4.63	12.96	6.48	8.33	1.85	13.89	0.0	0.0	4.63	0.0	0.0	8.33	8.33	0.0	0.93	0.0	2.78	8.33	4.63	0.0	0.0
MANOOJ	
CONTINUED	126	126.0	2.38	0.0	0.0	0.0	2.38	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	12.70	1.59	2.38	3.17	0.79	0.0	6.35	0.0	1.59	4.76	4.76	1.59	0.0	14.29	9.52	0.0	0.79	1.59	0.79	0.0	0.0	0.0	46.83	0.0	0.0	2.38	0.0	0.0	0.79	11.11	0.0	0.0	0.0	5.56	0.79	0.0	1.59	0.79	1.59	0.0	1.59	0.0	10.32	1.59	9.52	12.70	5.56	15.08	0.79	15.08	0.79	0.0	7.14	0.0	6.35	12.70	10.32	0.0	0.79	0.0	3.17	5.56	2.38	1.59	0.0
CONTINUED	53	53.0	1.89	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77	1.89	7.55	3.77	1.89	0.0	0.0	0.0	5.66	1.89	0.0	1.89	0.0	15.09	3.77	0.0	1.89	0.0	0.0	0.0	0.0	0.0	52.83	0.0	0.0	0.0	0.0	0.0	11.32	5.66	0.0	0.0	3.77	3.77	1.89	1.89	5.66	0.0	1.89	0.0	0.0	1.89	0.0	1.89	22.64	9.43	9.43	26.42	1.89	13.21	0.0	0.0	0.0	1.89	3.77	13.21	3.77	1.89	1.89	0.0	3.77	13.21	0.0	0.0	7.55
MAX	91	91.0	1.10	0.0	0.0	0.0	1.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.09	0.0	3.30	5.49	1.10	0.0	5.49	0.0	7.69	1.10	1.10	0.0	0.0	13.19	5.49	0.0	1.10	1.10	0.0	3.30	0.0	0.0	58.24	1.10	0.0	1.10	1.10	0.0	1.10	7.69	0.0	0.0	2.20	2.20	0.0	3.30	1.10	1.10	2.20	0.0	3.30	0.0	4.40	3.30	21.98	13.19	12.09	24.18	1.10	14.29	0.0	1.10	0.0	0.0	16.48	23.08	6.59	0.0	1.10	0.0	4.40	13.19	2.20	0.0	2.20
CONTINUED	39	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.26	0.0	7.69	7.69	0.0	0.0	15.38	0.0	2.56	0.0	0.0	2.56	2.56	17.95	5.13	0.0	2.56	2.56	0.0	2.56	0.0	0.0	46.15	0.0	0.0	0.0	0.0	2.56	5.13	5.13	0.0	0.0	2.56	2.56	0.0	0.0	5.13	0.0	0.0	0.0	2.56	2.56	2.56	7.69	7.69	10.26	7.69	10.26	0.0	15.38	0.0	0.0	0.0	0.0	0.0	15.38	7.69	0.0	2.56	0.0	2.56	10.26	0.0	0.0	2.56
MAX	36	36.0	2.78	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	2.78	8.33	8.33	0.0	0.0	13.89	0.0	0.0	0.0	0.0	0.0	0.0	8.33	2.78	0.0	0.0	0.0	0.0	2.78	0.0	0.0	55.56	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	2.78	8.33	5.56	19.44	0.0	8.33	0.0	25.00	0.0	0.0	0.0	0.0	5.56	8.33	11.11	0.0	2.78	0.0	13.89	0.0	0.0	0.0	0.0
