SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
FOR EDUCATIONAL	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	50.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAN	31	31.0	3.23	0.0	0.0	0.0	3.23	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	19.35	0.0	0.0	3.23	3.23	0.0	9.68	0.0	6.45	3.23	3.23	0.0	0.0	9.68	3.23	0.0	0.0	3.23	0.0	3.23	0.0	0.0	45.16	0.0	0.0	0.0	9.68	0.0	0.0	6.45	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	9.68	0.0	9.68	16.13	9.68	12.90	0.0	19.35	0.0	0.0	6.45	0.0	9.68	9.68	16.13	0.0	3.23	0.0	3.23	9.68	0.0	0.0	0.0
STUMP	18	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	5.56	5.56	0.0	11.11	0.0	11.11	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	50.00	0.0	0.0	5.56	0.0	0.0	5.56	0.0	0.0	0.0	0.0	5.56	0.0	0.0	0.0	11.11	5.56	0.0	0.0	0.0	5.56	0.0	11.11	0.0	16.67	16.67	0.0	0.0	5.56	0.0	0.0	0.0	0.0	11.11	0.0	5.56	0.0	0.0	0.0	16.67	0.0	0.0	5.56
STUMP	96	96.0	5.21	3.12	0.0	0.0	5.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.58	0.0	6.25	2.08	0.0	0.0	7.29	1.04	5.21	0.0	0.0	0.0	4.17	10.42	2.08	0.0	1.04	0.0	0.0	0.0	0.0	0.0	43.75	0.0	0.0	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0	5.21	1.04	0.0	0.0	0.0	1.04	0.0	3.12	3.12	0.0	1.04	11.46	6.25	6.25	16.67	2.08	9.38	1.04	1.04	0.0	0.0	1.04	16.67	3.12	0.0	0.0	3.12	6.25	9.38	0.0	0.0	3.12
LUCILLE	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STUMP	29	29.0	3.45	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.24	3.45	10.34	0.0	0.0	0.0	3.45	0.0	10.34	0.0	0.0	0.0	0.0	6.90	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	58.62	0.0	0.0	6.90	0.0	3.45	3.45	0.0	0.0	0.0	3.45	20.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.34	6.90	0.0	10.34	13.79	10.34	31.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.24	0.0	0.0	0.0	0.0	0.0	20.69	0.0	0.0	6.90
STUMP	7	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	28.57	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	14.29	0.0	14.29	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	14.29	0.0	14.29	0.0	0.0
LUCILLE	11	11.0	18.18	9.09	0.0	0.0	9.09	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	9.09	0.0	9.09	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.27	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	9.09	0.0	9.09	0.0	9.09	0.0	0.0	0.0	0.0	0.0	9.09	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STUMP	18	18.0	5.56	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	0.0	0.0	11.11	0.0	5.56	0.0	0.0	0.0	5.56	0.0	16.67	0.0	0.0	0.0	5.56	16.67	5.56	0.0	5.56	5.56	0.0	0.0	0.0	0.0	66.67	5.56	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	5.56	16.67	0.0	0.0	0.0	5.56	0.0	0.0	0.0	0.0	0.0	0.0	16.67	5.56	16.67	33.33	0.0	11.11	0.0	0.0	0.0	0.0	5.56	11.11	5.56	0.0	5.56	0.0	5.56	22.22	0.0	0.0	0.0
LUCILLE	47	47.0	2.13	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.77	0.0	6.38	0.0	0.0	0.0	4.26	4.26	12.77	0.0	0.0	2.13	0.0	17.02	8.51	0.0	2.13	4.26	2.13	2.13	0.0	0.0	57.45	2.13	0.0	4.26	0.0	0.0	8.51	2.13	0.0	4.26	2.13	4.26	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	8.51	0.0	23.40	6.38	17.02	27.66	0.0	12.77	0.0	0.0	2.13	0.0	10.64	23.40	0.0	0.0	4.26	0.0	12.77	19.15	0.0	0.0	4.26
