SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
HELEN	1.94	0.0	0.0	0.0	1.94	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	22.58	1.29	1.29	12.90	5.16	0.0	6.45	0.0	5.81	3.87	0.0	0.65	1.94	10.97	5.81	0.65	0.65	0.65	0.0	1.94	0.0	0.0	49.68	0.0	3.87	1.29	0.65	3.87	0.0	5.16	0.0	0.65	1.94	2.58	0.65	0.65	1.29	0.0	10.32	0.0	0.65	0.65	3.23	2.58	12.26	10.32	7.10	14.84	4.52	11.61	0.65	2.58	0.0	0.0	0.0	18.71	5.16	0.0	0.65	11.61	5.16	8.39	0.65	1.94	0.0
HELEN	2.33	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.30	0.0	2.33	0.0	0.0	0.0	18.60	0.0	11.63	2.33	2.33	0.0	0.0	6.98	6.98	2.33	0.0	0.0	0.0	0.0	0.0	0.0	58.14	0.0	0.0	0.0	0.0	0.0	0.0	4.65	0.0	0.0	0.0	0.0	0.0	0.0	9.30	0.0	0.0	0.0	0.0	4.65	6.98	0.0	9.30	11.63	13.95	9.30	0.0	18.60	0.0	0.0	2.33	0.0	0.0	9.30	4.65	0.0	2.33	9.30	4.65	18.60	0.0	0.0	0.0
HELEN	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	24.19	1.61	4.84	8.06	4.84	0.0	8.06	0.0	11.29	0.0	0.0	0.0	3.23	9.68	3.23	3.23	3.23	3.23	0.0	0.0	0.0	0.0	50.00	3.23	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	4.84	0.0	1.61	4.84	0.0	3.23	4.84	1.61	3.23	3.23	11.29	6.45	6.45	1.61	8.06	0.0	0.0	0.0	0.0	0.0	4.84	3.23	0.0	1.61	1.61	3.23	16.13	0.0	3.23	1.61
HELEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.46	0.0	0.0	3.85	0.0	0.0	0.0	0.0	3.85	3.85	0.0	0.0	0.0	26.92	7.69	0.0	0.0	3.85	0.0	0.0	0.0	0.0	38.46	3.85	3.85	0.0	0.0	11.54	0.0	7.69	0.0	7.69	0.0	3.85	0.0	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	3.85	3.85	15.38	3.85	7.69	3.85	11.54	0.0	0.0	0.0	0.0	0.0	19.23	7.69	0.0	7.69	0.0	3.85	7.69	0.0	11.54	3.85
COP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	0.0	0.0	14.29	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.14	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	14.29	14.29	14.29	0.0	14.29	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	0.0	0.0	0.0	14.29	0.0	14.29	14.29
HELEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HELEN	0.0	0.0	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	0.0	0.0	25.00	2.78	0.0	8.33	0.0	0.0	13.89	0.0	5.56	2.78	0.0	0.0	0.0	5.56	2.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	2.78	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.0	5.56	0.0	2.78	0.0	0.0	0.0	0.0	2.78	0.0	0.0	8.33	0.0	16.67	5.56	5.56	2.78	27.78	2.78	0.0	0.0	0.0	0.0	0.0	25.00	0.0	2.78	0.0	2.78	5.56	0.0	0.0	0.0
HELEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	16.67	16.67	0.0	33.33	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	16.67
CHESSMASTER	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	14.29	0.0	0.0	0.0	0.0	14.29	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	14.29	0.0	14.29	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	0.0	14.29	0.0	0.0	0.0
CHESSMASTER	0.0	4.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	9.09	0.0	0.0	0.0	9.09	0.0	13.64	0.0	0.0	0.0	0.0	18.18	0.0	0.0	0.0	9.09	0.0	4.55	0.0	0.0	68.18	0.0	0.0	0.0	0.0	0.0	9.09	4.55	0.0	0.0	4.55	9.09	4.55	0.0	4.55	4.55	0.0	0.0	0.0	4.55	4.55	0.0	22.73	9.09	13.64	31.82	0.0	18.18	0.0	0.0	0.0	0.0	0.0	22.73	4.55	0.0	0.0	0.0	4.55	27.27	9.09	0.0	4.55
HELEN	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	22.22	0.0	0.0	11.11	0.0	11.11	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.56	0.0	11.11	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	33.33	11.11	0.0	33.33	0.0	22.22	0.0	0.0	0.0	0.0	0.0	11.11	11.11	0.0	0.0	0.0	11.11	11.11	0.0	0.0	11.11
CHESSMASTER	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	28.57	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	14.29	0.0	14.29	0.0	0.0	14.29	0.0	14.29	0.0	14.29	0.0	0.0	14.29	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	14.29	0.0	0.0	0.0
HELEN	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	6.67	6.67	20.00	0.0	6.67	6.67	0.0	6.67	6.67	0.0	0.0	0.0	20.00	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	53.33	0.0	6.67	0.0	0.0	0.0	0.0	6.67	0.0	6.67	0.0	13.33	6.67	0.0	13.33	0.0	13.33	0.0	0.0	0.0	0.0	6.67	0.0	26.67	13.33	13.33	0.0	26.67	0.0	6.67	0.0	0.0	0.0	0.0	13.33	0.0	0.0	0.0	0.0	13.33	0.0	0.0	0.0
HELEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	42.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29
