SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
DJANGO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.74	0.0	0.0	0.0	0.0	0.0	13.04	0.0	4.35	13.04	8.70	4.35	0.0	13.04	4.35	0.0	0.0	0.0	4.35	0.0	0.0	0.0	52.17	0.0	0.0	0.0	8.70	0.0	0.0	4.35	4.35	4.35	0.0	4.35	4.35	4.35	4.35	0.0	0.0	0.0	0.0	0.0	4.35	0.0	4.35	17.39	4.35	8.70	4.35	8.70	0.0	0.0	4.35	0.0	4.35	13.04	4.35	0.0	0.0	0.0	0.0	8.70	0.0	0.0	0.0
DJANGO	6.67	0.0	0.0	5.00	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	8.33	1.67	1.67	0.0	0.0	0.0	16.67	0.0	3.33	0.0	0.0	0.0	0.0	13.33	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.00	0.0	0.0	0.0	1.67	1.67	0.0	6.67	0.0	6.67	0.0	0.0	0.0	11.67	1.67	0.0	0.0	0.0	0.0	1.67	3.33	0.0	6.67	20.00	5.00	6.67	1.67	20.00	0.0	0.0	3.33	0.0	0.0	10.00	15.00	0.0	0.0	6.67	0.0	8.33	0.0	1.67	0.0
DJANGO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	4.76	9.52	4.76	0.0	4.76	0.0	9.52	0.0	0.0	0.0	4.76	14.29	4.76	0.0	0.0	4.76	9.52	0.0	0.0	0.0	52.38	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.0	0.0	0.0	4.76	4.76	0.0	0.0	4.76	4.76	0.0	0.0	4.76	9.52	4.76	4.76	19.05	14.29	9.52	0.0	23.81	0.0	0.0	9.52	0.0	4.76	14.29	19.05	0.0	0.0	0.0	4.76	19.05	0.0	0.0	0.0
WHEN...	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	13.33	3.33	0.0	6.67	0.0	0.0	10.00	0.0	0.0	0.0	0.0	3.33	0.0	20.00	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.33	0.0	0.0	3.33	0.0	3.33	0.0	6.67	0.0	3.33	0.0	3.33	0.0	3.33	3.33	0.0	3.33	0.0	0.0	0.0	6.67	3.33	10.00	13.33	6.67	13.33	0.0	20.00	0.0	0.0	0.0	0.0	0.0	13.33	10.00	0.0	6.67	10.00	6.67	6.67	0.0	6.67	0.0
THE RIDER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	3.33	0.0	0.0	13.33	0.0	3.33	6.67	3.33	0.0	0.0	6.67	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	3.33	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	0.0	3.33	3.33	0.0	0.0	0.0	3.33	0.0	10.00	3.33	6.67	16.67	3.33	6.67	3.33	20.00	0.0	0.0	10.00	0.0	6.67	6.67	6.67	0.0	3.33	0.0	10.00	6.67	0.0	3.33	0.0
DICKY SPECK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	6.67	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	13.33	6.67	0.0	0.0	6.67	0.0	0.0	0.0	0.0	53.33	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	13.33	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	20.00	13.33	20.00	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	13.33	0.0	6.67	0.0	0.0	13.33	0.0	6.67	6.67
THE RIDER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.33	0.0	2.04	4.08	0.0	0.0	12.24	0.0	2.04	4.08	2.04	0.0	0.0	8.16	2.04	0.0	0.0	0.0	0.0	0.0	0.0	2.04	51.02	0.0	2.04	2.04	0.0	2.04	6.12	4.08	0.0	2.04	2.04	0.0	2.04	2.04	6.12	2.04	2.04	0.0	2.04	0.0	4.08	2.04	16.33	14.29	4.08	16.33	0.0	14.29	0.0	0.0	2.04	0.0	6.12	16.33	6.12	0.0	0.0	2.04	2.04	4.08	0.0	2.04	2.04
THE RIDER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.00	0.0	0.0	8.00	0.0	0.0	12.00	0.0	8.00	0.0	0.0	0.0	0.0	4.00	0.0	0.0	0.0	0.0	4.00	4.00	0.0	0.0	48.00	4.00	0.0	0.0	0.0	4.00	0.0	0.0	0.0	0.0	0.0	8.00	0.0	4.00	4.00	0.0	0.0	0.0	0.0	0.0	8.00	8.00	4.00	16.00	4.00	12.00	0.0	12.00	0.0	0.0	4.00	0.0	0.0	12.00	0.0	0.0	4.00	0.0	8.00	12.00	0.0	4.00	4.00
ACE SPECK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	50.00	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
THE RIDER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.70	3.70	0.0	7.41	3.70	0.0	11.11	0.0	14.81	11.11	3.70	0.0	0.0	7.41	3.70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.56	0.0	7.41	0.0	0.0	0.0	14.81	7.41	0.0	0.0	0.0	3.70	0.0	0.0	0.0	0.0	3.70	0.0	0.0	3.70	0.0	3.70	22.22	3.70	14.81	25.93	0.0	3.70	0.0	0.0	0.0	0.0	7.41	7.41	3.70	0.0	0.0	0.0	0.0	18.52	0.0	7.41	0.0
