SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
JOEL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.43	14.29	0.0	0.0	0.0	14.29	0.0	7.14	0.0	0.0	7.14	14.29	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	0.0	0.0	0.0	0.0	7.14	7.14	7.14	0.0	0.0	0.0	7.14	7.14	7.14	0.0	0.0	7.14	0.0	0.0	0.0	14.29	14.29	7.14	14.29	14.29	0.0	14.29	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	7.14	14.29	0.0	7.14	7.14
JOEL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	9.52	0.0	0.0	4.76	4.76	9.52	0.0	0.0	0.0	4.76	19.05	4.76	0.0	0.0	4.76	4.76	0.0	0.0	0.0	66.67	4.76	0.0	0.0	4.76	0.0	4.76	4.76	0.0	0.0	0.0	9.52	0.0	0.0	9.52	4.76	0.0	4.76	0.0	0.0	0.0	9.52	4.76	28.57	4.76	14.29	0.0	28.57	0.0	0.0	0.0	0.0	0.0	4.76	19.05	0.0	4.76	0.0	0.0	9.52	0.0	4.76	0.0
JOEL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	11.11	0.0	22.22	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	77.78	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	11.11	0.0	0.0	11.11	11.11	11.11	11.11	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	11.11	22.22	0.0	0.0	0.0
DEAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	50.00	16.67	0.0	16.67	33.33	0.0	0.0	0.0	0.0	66.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	33.33	0.0	0.0	16.67	0.0	0.0	16.67
JOEL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.84	2.25	1.12	3.37	0.0	0.0	6.74	0.0	3.37	0.0	0.0	2.25	1.12	13.48	6.74	0.0	1.12	0.0	0.0	0.0	0.0	0.0	47.19	0.0	0.0	2.25	0.0	1.12	0.0	4.49	0.0	1.12	0.0	3.37	0.0	1.12	5.62	1.12	0.0	0.0	1.12	0.0	4.49	3.37	5.62	17.98	5.62	8.99	3.37	23.60	0.0	0.0	2.25	0.0	5.62	11.24	10.11	0.0	2.25	0.0	7.87	5.62	0.0	4.49	0.0
STEP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	16.67	16.67	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	16.67
HECTOR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STEP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.43	0.0	21.43	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	21.43	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	64.29	0.0	0.0	0.0	0.0	0.0	7.14	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	14.29	21.43	0.0	14.29	0.0	28.57	0.0	0.0	0.0	0.0	0.0	7.14	14.29	0.0	0.0	0.0	14.29	14.29	0.0	0.0	7.14
STEP	1.35	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.46	1.35	5.41	5.41	0.0	0.0	8.11	0.0	8.11	2.70	2.70	2.70	0.0	18.92	1.35	0.0	1.35	0.0	0.0	1.35	0.0	0.0	62.16	2.70	0.0	0.0	0.0	0.0	6.76	9.46	0.0	0.0	0.0	5.41	0.0	0.0	0.0	0.0	2.70	0.0	0.0	1.35	4.05	2.70	9.46	18.92	5.41	14.86	9.46	14.86	0.0	0.0	2.70	0.0	0.0	2.70	10.81	0.0	5.41	1.35	4.05	12.16	1.35	2.70	0.0
RORY	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.0	0.0	0.76	0.0	16.67	0.0	1.52	5.30	1.52	2.27	8.33	0.0	5.30	3.79	3.03	0.76	1.52	17.42	3.03	0.0	0.0	2.27	0.0	0.76	0.0	0.0	49.24	0.0	0.76	0.0	0.0	0.76	0.76	8.33	0.0	0.0	0.76	4.55	2.27	0.76	0.76	1.52	3.79	0.0	0.76	0.76	6.06	1.52	10.61	15.91	6.82	15.15	0.76	16.67	0.0	0.0	3.79	0.76	9.09	14.39	11.36	0.76	3.03	0.0	4.55	9.09	0.76	1.52	0.0
