SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	0.0	0.0	0.0	16.67	0.0	5.56	5.56	0.0	0.0	0.0	22.22	5.56	0.0	0.0	0.0	0.0	5.56	0.0	0.0	61.11	0.0	5.56	0.0	0.0	0.0	0.0	11.11	0.0	5.56	0.0	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	5.56	0.0	5.56	22.22	5.56	11.11	0.0	33.33	0.0	0.0	0.0	0.0	0.0	5.56	22.22	0.0	5.56	0.0	11.11	16.67	5.56	0.0	0.0
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	21.43	0.0	7.14	0.0	0.0	0.0	7.14	0.0	7.14	0.0	0.0	0.0	0.0	35.71	0.0	0.0	7.14	7.14	0.0	7.14	0.0	0.0	42.86	7.14	0.0	7.14	0.0	0.0	7.14	0.0	0.0	0.0	14.29	7.14	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	14.29	0.0	14.29	0.0	7.14	21.43	7.14	7.14	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	14.29	0.0	0.0	14.29	0.0	0.0	7.14
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.79	0.0	10.34	6.90	0.0	0.0	10.34	0.0	6.90	0.0	0.0	0.0	6.90	24.14	10.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.62	0.0	0.0	0.0	0.0	0.0	0.0	17.24	0.0	0.0	0.0	3.45	0.0	0.0	3.45	0.0	3.45	0.0	0.0	10.34	3.45	3.45	3.45	10.34	0.0	6.90	10.34	24.14	3.45	0.0	3.45	0.0	0.0	3.45	17.24	0.0	0.0	0.0	3.45	10.34	3.45	0.0	0.0
DUKE	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	23.08	0.0	0.0	15.38	7.69	0.0	7.69	0.0	15.38	0.0	0.0	0.0	0.0	7.69	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.15	0.0	0.0	15.38	0.0	0.0	0.0	7.69	0.0	0.0	0.0	15.38	0.0	0.0	0.0	0.0	15.38	0.0	0.0	7.69	15.38	0.0	0.0	0.0	7.69	15.38	0.0	0.0	15.38	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	15.38	0.0	0.0	0.0
GONZO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.00	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	20.00	20.00	20.00	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	20.00
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	14.29	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	28.57	42.86	0.0	28.57	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	14.29	28.57	0.0	0.0	14.29
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	6.67	6.67	6.67	0.0	6.67	0.0	6.67	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.33	6.67	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	6.67	6.67	0.0	6.67	0.0	6.67	6.67	0.0	0.0	6.67	6.67	0.0	13.33	0.0	6.67	20.00	6.67	13.33	0.0	0.0	6.67	0.0	0.0	13.33	6.67	6.67	0.0	6.67	6.67	20.00	0.0	0.0	0.0
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.30	1.75	1.75	5.26	0.0	1.75	10.53	0.0	1.75	1.75	0.0	0.0	0.0	3.51	3.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.12	0.0	0.0	1.75	0.0	0.0	0.0	3.51	1.75	0.0	0.0	0.0	5.26	0.0	1.75	0.0	3.51	0.0	12.28	1.75	7.02	1.75	1.75	15.79	0.0	1.75	3.51	5.26	0.0	0.0	1.75	0.0	0.0	1.75	3.51	0.0	0.0	0.0	0.0	1.75	1.75	0.0	0.0
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	3.33	0.0	0.0	10.00	0.0	6.67	3.33	0.0	0.0	3.33	20.00	10.00	0.0	3.33	6.67	0.0	0.0	0.0	0.0	66.67	0.0	3.33	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	10.00	0.0	0.0	6.67	3.33	3.33	0.0	3.33	3.33	0.0	0.0	10.00	16.67	10.00	20.00	3.33	16.67	0.0	0.0	0.0	0.0	0.0	10.00	6.67	0.0	0.0	0.0	3.33	13.33	3.33	0.0	6.67
DUKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	2.33	9.30	9.30	0.0	2.33	13.95	0.0	6.98	2.33	0.0	0.0	0.0	18.60	6.98	0.0	0.0	2.33	0.0	0.0	0.0	0.0	69.77	0.0	2.33	0.0	0.0	2.33	4.65	11.63	2.33	0.0	2.33	9.30	0.0	0.0	0.0	2.33	6.98	0.0	0.0	4.65	2.33	2.33	9.30	11.63	4.65	18.60	2.33	13.95	0.0	2.33	0.0	0.0	0.0	6.98	11.63	0.0	2.33	0.0	2.33	11.63	4.65	0.0	0.0
