SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
NARRATOR	100	100.0	1.00	1.00	0.0	1.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00	0.0	14.00	1.00	3.00	2.00	0.0	0.0	9.00	0.0	9.00	7.00	5.00	2.00	2.00	17.00	6.00	0.0	1.00	3.00	0.0	1.00	0.0	0.0	55.00	1.00	1.00	2.00	0.0	0.0	3.00	3.00	0.0	3.00	2.00	8.00	0.0	0.0	1.00	2.00	1.00	1.00	1.00	4.00	8.00	1.00	15.00	8.00	10.00	23.00	2.00	15.00	0.0	0.0	5.00	1.00	1.00	14.00	4.00	0.0	3.00	5.00	10.00	16.00	0.0	0.0	6.00
MARY	39	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.38	0.0	7.69	5.13	0.0	2.56	7.69	0.0	12.82	0.0	0.0	0.0	0.0	20.51	10.26	0.0	2.56	2.56	0.0	0.0	0.0	0.0	56.41	0.0	0.0	0.0	2.56	0.0	0.0	10.26	0.0	0.0	2.56	5.13	0.0	0.0	2.56	5.13	5.13	0.0	0.0	2.56	0.0	0.0	2.56	12.82	10.26	7.69	0.0	12.82	0.0	0.0	0.0	0.0	0.0	2.56	2.56	0.0	0.0	0.0	5.13	17.95	0.0	10.26	2.56
gait.	60	60.0	1.67	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	1.67	3.33	1.67	0.0	16.67	0.0	1.67	3.33	0.0	0.0	0.0	5.00	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.00	0.0	0.0	0.0	0.0	0.0	0.0	3.33	1.67	1.67	0.0	3.33	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	1.67	10.00	20.00	1.67	13.33	1.67	13.33	0.0	0.0	0.0	1.67	8.33	10.00	13.33	0.0	0.0	1.67	0.0	1.67	0.0	0.0	0.0
above.	33	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	0.0	3.03	0.0	3.03	12.12	0.0	0.0	3.03	0.0	0.0	0.0	9.09	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.45	0.0	0.0	0.0	3.03	0.0	0.0	9.09	3.03	0.0	0.0	9.09	0.0	0.0	6.06	0.0	3.03	0.0	0.0	0.0	3.03	0.0	3.03	18.18	0.0	12.12	0.0	24.24	0.0	0.0	3.03	0.0	0.0	3.03	18.18	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0
Horns strikes	8	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	12.50	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	12.50	0.0	25.00	0.0	12.50	0.0	0.0	0.0	0.0	25.00	25.00	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FISH	8	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	12.50	12.50	0.0	12.50	0.0	12.50	12.50	0.0	12.50	0.0	12.50	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.50	0.0	0.0	0.0	0.0	12.50	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	25.00	0.0	25.00	25.00	0.0	0.0	0.0	0.0	0.0	12.50	0.0	37.50	0.0	12.50	0.0	0.0	0.0	25.00	0.0	0.0	12.50
SUPERHERO	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FISH	22	22.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.0	0.0	0.0	0.0	22.73	4.55	0.0	4.55	0.0	0.0	13.64	0.0	0.0	0.0	0.0	4.55	0.0	9.09	4.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.36	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.0	4.55	0.0	4.55	4.55	0.0	0.0	0.0	4.55	0.0	4.55	4.55	4.55	4.55	4.55	9.09	0.0	18.18	0.0	0.0	0.0	0.0	0.0	4.55	13.64	0.0	0.0	0.0	0.0	4.55	0.0	0.0	4.55
HANCOCK	16	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	6.25	0.0	0.0	0.0	12.50	0.0	0.0	6.25	6.25	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	12.50	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	18.75	0.0	6.25	0.0	31.25	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0
FISH	24	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	4.17	0.0	0.0	0.0	0.0	20.83	0.0	0.0	0.0	0.0	12.50	4.17	0.0	4.17	0.0	0.0	0.0	0.0	0.0	70.83	0.0	0.0	0.0	0.0	0.0	12.50	4.17	0.0	0.0	4.17	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	4.17	29.17	4.17	33.33	29.17	12.50	0.0	0.0	0.0	0.0	0.0	0.0	20.83	0.0	0.0	0.0	8.33	0.0	33.33	0.0	0.0	8.33
