SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
A BUNGALOW.	0.0	0.0	0.0	0.0	0.0	0.0	3.70	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	3.70	3.70	0.0	14.81	0.0	14.81	3.70	3.70	0.0	0.0	11.11	3.70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.56	0.0	0.0	0.0	3.70	0.0	0.0	11.11	0.0	0.0	0.0	14.81	0.0	0.0	0.0	0.0	3.70	0.0	0.0	3.70	3.70	0.0	0.0	14.81	11.11	14.81	3.70	7.41	0.0	0.0	3.70	0.0	0.0	0.0	7.41	0.0	0.0	0.0	0.0	14.81	0.0	0.0	0.0
ANOTHER RATTLE.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.94	0.0	2.99	4.48	0.0	0.0	11.94	0.0	1.49	4.48	2.99	0.0	0.0	7.46	7.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.75	0.0	1.49	2.99	4.48	2.99	0.0	4.48	0.0	1.49	0.0	5.97	0.0	0.0	1.49	1.49	2.99	0.0	0.0	0.0	8.96	1.49	8.96	14.93	7.46	14.93	0.0	11.94	0.0	1.49	5.97	0.0	8.96	13.43	5.97	0.0	0.0	0.0	4.48	7.46	0.0	0.0	0.0
MIDDLE-AGED MAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A HAND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	5.00	5.00	0.0	0.0	0.0	5.00	0.0	5.00	10.00	10.00	0.0	0.0	15.00	15.00	0.0	0.0	0.0	0.0	10.00	0.0	0.0	50.00	0.0	0.0	0.0	0.0	5.00	0.0	15.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	10.00	25.00	5.00	10.00	0.0	5.00	0.0	0.0	0.0	0.0	10.00	15.00	5.00	0.0	0.0	0.0	0.0	5.00	0.0	0.0	0.0
A SWORD.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.24	0.0	0.0	6.90	0.0	0.0	13.79	0.0	0.0	0.0	0.0	3.45	0.0	6.90	6.90	3.45	0.0	0.0	0.0	0.0	0.0	0.0	44.83	0.0	0.0	0.0	3.45	6.90	0.0	3.45	0.0	0.0	0.0	10.34	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	3.45	3.45	0.0	20.69	0.0	10.34	0.0	10.34	0.0	3.45	3.45	0.0	0.0	6.90	10.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
THE SYMBOL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	4.17	4.17	0.0	8.33	0.0	0.0	16.67	12.50	0.0	0.0	8.33	8.33	0.0	0.0	0.0	0.0	8.33	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	8.33	4.17	0.0	0.0	0.0	4.17	0.0	4.17	0.0	4.17	0.0	0.0	0.0	8.33	0.0	16.67	20.83	0.0	16.67	0.0	16.67	0.0	0.0	0.0	0.0	16.67	16.67	16.67	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0
BLONDE GIRL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.54	0.0	3.85	3.85	0.0	0.0	3.85	0.0	7.69	7.69	7.69	0.0	0.0	7.69	11.54	0.0	0.0	3.85	0.0	3.85	0.0	0.0	65.38	0.0	0.0	0.0	0.0	0.0	0.0	3.85	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	3.85	0.0	0.0	3.85	11.54	0.0	23.08	15.38	11.54	30.77	0.0	11.54	0.0	0.0	3.85	0.0	15.38	23.08	3.85	0.0	0.0	0.0	3.85	15.38	0.0	0.0	7.69
BLONDE GIRL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.00	0.0	0.0	5.00	0.0	5.00	5.00	5.00	0.0	10.00	10.00	0.0	0.0	10.00	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	5.00	10.00	0.0	0.0	0.0	0.0	5.00	0.0	5.00	0.0	5.00	0.0	0.0	0.0	5.00	0.0	15.00	20.00	5.00	15.00	0.0	25.00	5.00	0.0	5.00	0.0	10.00	15.00	15.00	0.0	0.0	0.0	5.00	5.00	0.0	0.0	0.0
DANIEL	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	2.38	4.76	0.0	0.0	4.76	0.0	11.90	16.67	9.52	0.0	2.38	11.90	4.76	2.38	0.0	2.38	0.0	0.0	0.0	0.0	47.62	0.0	7.14	0.0	0.0	0.0	0.0	4.76	0.0	2.38	0.0	4.76	0.0	0.0	0.0	0.0	4.76	0.0	0.0	2.38	4.76	0.0	7.14	11.90	11.90	11.90	0.0	19.05	0.0	0.0	4.76	0.0	7.14	7.14	14.29	0.0	0.0	0.0	4.76	14.29	0.0	2.38	0.0
HENRI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	11.11	0.0	11.11	0.0	0.0	11.11	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	11.11	0.0	0.0	11.11	11.11	0.0	0.0	11.11	11.11	22.22	11.11	11.11	0.0	0.0	11.11	0.0	0.0	11.11	11.11	0.0	11.11	0.0	0.0	22.22	0.0	0.0	0.0
