SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
DISSOLVE.	37	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.92	0.0	0.0	0.0	0.0	0.0	10.81	0.0	2.70	0.0	0.0	0.0	0.0	13.51	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.95	0.0	0.0	0.0	0.0	0.0	0.0	10.81	0.0	0.0	0.0	5.41	0.0	0.0	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.51	2.70	5.41	8.11	16.22	0.0	0.0	0.0	0.0	0.0	0.0	5.41	0.0	2.70	0.0	5.41	2.70	0.0	0.0	0.0
NARRATOR v/o	12	12.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	33.33	0.0	0.0	8.33	8.33	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	16.67	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	8.33	0.0	0.0	0.0	8.33	0.0	8.33	0.0	8.33	16.67	0.0	0.0	0.0	16.67	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	8.33	16.67	0.0	0.0	0.0
NARRATOR	9	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	11.11	22.22	11.11	0.0	0.0	0.0	0.0	11.11	0.0	0.0	66.67	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	11.11	0.0	22.22	11.11	11.11	0.0	0.0	0.0	0.0	0.0	11.11	11.11	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0
$7/GALLON	6	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.67	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	16.67	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	16.67	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NARRATOR	24	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	8.33	0.0	12.50	0.0	0.0	0.0	0.0	8.33	4.17	0.0	0.0	4.17	0.0	0.0	0.0	0.0	54.17	0.0	0.0	4.17	4.17	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	8.33	0.0	8.33	0.0	0.0	0.0	8.33	4.17	0.0	8.33	16.67	4.17	8.33	0.0	4.17	0.0	0.0	0.0	0.0	0.0	8.33	4.17	0.0	0.0	8.33	0.0	12.50	0.0	8.33	0.0
BUSINESSMEN	31	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.13	0.0	0.0	0.0	0.0	0.0	19.35	0.0	6.45	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	12.90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.90	6.45	3.23	0.0	16.13	0.0	0.0	0.0	0.0	0.0	3.23	16.13	0.0	0.0	0.0	0.0	6.45	0.0	6.45	0.0
CHIEF EXECUTIVE	63	63.0	0.0	1.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.46	0.0	0.0	0.0	0.0	0.0	11.11	0.0	1.59	0.0	0.0	0.0	0.0	12.70	6.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.21	0.0	0.0	0.0	1.59	0.0	0.0	11.11	0.0	0.0	0.0	1.59	1.59	1.59	4.76	0.0	0.0	0.0	0.0	1.59	4.76	0.0	11.11	15.87	6.35	12.70	1.59	19.05	0.0	0.0	3.17	0.0	6.35	12.70	12.70	0.0	0.0	1.59	1.59	7.94	3.17	4.76	0.0
POLITICIAN	60	60.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	13.33	1.67	1.67	1.67	1.67	0.0	15.00	0.0	6.67	1.67	1.67	1.67	0.0	3.33	5.00	0.0	0.0	0.0	1.67	0.0	0.0	0.0	48.33	0.0	0.0	1.67	1.67	1.67	1.67	0.0	0.0	1.67	1.67	0.0	1.67	0.0	1.67	0.0	1.67	0.0	1.67	0.0	6.67	0.0	3.33	21.67	10.00	3.33	0.0	28.33	0.0	0.0	5.00	0.0	0.0	5.00	23.33	0.0	0.0	1.67	1.67	10.00	0.0	1.67	0.0
NARRATOR v/o	62	62.0	1.61	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.13	1.61	0.0	4.84	0.0	0.0	16.13	0.0	4.84	3.23	1.61	0.0	0.0	6.45	4.84	1.61	0.0	0.0	0.0	0.0	0.0	0.0	41.94	0.0	0.0	8.06	0.0	4.84	0.0	4.84	1.61	1.61	0.0	0.0	0.0	0.0	3.23	0.0	4.84	0.0	1.61	6.45	8.06	0.0	6.45	8.06	3.23	6.45	0.0	20.97	0.0	0.0	0.0	0.0	3.23	14.52	8.06	0.0	0.0	3.23	9.68	9.68	0.0	1.61	0.0
DISSOLVE.	84	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.48	1.19	2.38	2.38	2.38	0.0	16.67	0.0	2.38	1.19	1.19	0.0	0.0	4.76	4.76	0.0	1.19	0.0	0.0	0.0	0.0	0.0	48.81	1.19	0.0	1.19	0.0	0.0	0.0	3.57	0.0	0.0	0.0	2.38	1.19	2.38	2.38	0.0	2.38	0.0	1.19	1.19	1.19	0.0	1.19	17.86	2.38	3.57	2.38	19.05	0.0	0.0	0.0	0.0	0.0	2.38	15.48	0.0	0.0	0.0	1.19	4.76	1.19	0.0	0.0
