SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
MAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	5.26	10.53	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	21.05	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	52.63	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	10.53	10.53	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	10.53	15.79	15.79	10.53	26.32	0.0	15.79	0.0	0.0	5.26	0.0	5.26	15.79	10.53	0.0	0.0	0.0	5.26	15.79	5.26	0.0	5.26
KATE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.68	0.0	3.23	3.23	0.0	0.0	16.13	0.0	9.68	12.90	3.23	3.23	0.0	12.90	0.0	0.0	3.23	0.0	0.0	3.23	0.0	0.0	54.84	0.0	9.68	0.0	0.0	0.0	12.90	0.0	0.0	3.23	0.0	3.23	0.0	0.0	3.23	3.23	0.0	0.0	0.0	3.23	6.45	3.23	16.13	6.45	25.81	19.35	3.23	12.90	0.0	0.0	3.23	0.0	3.23	6.45	3.23	0.0	0.0	0.0	6.45	29.03	0.0	3.23	0.0
NURSE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	11.11	11.11	0.0	5.56	0.0	0.0	22.22	0.0	0.0	0.0	0.0	5.56	0.0	5.56	0.0	0.0	0.0	0.0	0.0	0.0	55.56	0.0	0.0	0.0	0.0	5.56	0.0	5.56	0.0	0.0	0.0	0.0	0.0	5.56	0.0	5.56	5.56	0.0	0.0	5.56	0.0	5.56	16.67	0.0	22.22	16.67	5.56	5.56	0.0	0.0	0.0	0.0	5.56	22.22	5.56	0.0	0.0	0.0	0.0	27.78	5.56	0.0	5.56
KATE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	10.00	0.0	0.0	0.0	10.00	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	70.00	0.0	10.00	0.0	0.0	10.00	10.00	0.0	0.0	0.0	0.0	30.00	0.0	0.0	0.0	20.00	0.0	0.0	0.0	10.00	0.0	0.0	10.00	10.00	30.00	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	10.00	0.0	0.0	40.00	0.0	0.0	0.0
NURSE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	11.11	22.22	44.44	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	22.22	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.78	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.44	0.0	0.0	0.0	0.0	0.0	44.44	0.0	22.22	44.44	0.0	0.0	0.0	11.11	0.0	0.0	0.0	44.44	0.0	0.0	0.0	0.0	0.0	22.22	44.44	0.0	0.0
KATE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	2.08	2.08	0.0	0.0	0.0	12.50	0.0	6.25	14.58	6.25	0.0	0.0	10.42	6.25	2.08	0.0	4.17	0.0	8.33	0.0	0.0	52.08	0.0	8.33	0.0	2.08	0.0	0.0	2.08	0.0	0.0	4.17	12.50	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	8.33	0.0	4.17	12.50	12.50	16.67	0.0	14.58	0.0	0.0	0.0	0.0	2.08	4.17	4.17	0.0	0.0	0.0	2.08	12.50	0.0	4.17	2.08
RATE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	14.29	0.0	0.0	28.57	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	14.29	14.29	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	28.57	0.0	0.0	0.0
-DOCTOR-	5.66	0.0	0.0	0.0	3.77	0.0	0.0	0.0	0.0	1.89	0.0	0.0	0.0	13.21	1.89	5.66	5.66	0.0	1.89	5.66	0.0	5.66	3.77	1.89	0.0	0.0	3.77	3.77	0.0	0.0	0.0	1.89	0.0	0.0	0.0	54.72	0.0	1.89	0.0	0.0	3.77	0.0	1.89	0.0	0.0	0.0	1.89	1.89	0.0	3.77	0.0	1.89	0.0	0.0	0.0	1.89	3.77	20.75	16.98	7.55	22.64	3.77	11.32	0.0	0.0	0.0	0.0	16.98	26.42	3.77	0.0	1.89	0.0	3.77	7.55	0.0	3.77	3.77
JOHN	2.04	0.0	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.33	0.0	4.08	4.08	0.0	0.0	16.33	2.04	6.12	10.20	4.08	0.0	0.0	8.16	4.08	0.0	0.0	0.0	0.0	6.12	0.0	0.0	46.94	0.0	6.12	0.0	4.08	0.0	0.0	6.12	0.0	2.04	0.0	4.08	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	8.16	4.08	6.12	10.20	8.16	10.20	0.0	12.24	0.0	0.0	2.04	0.0	2.04	6.12	2.04	0.0	0.0	0.0	6.12	10.20	0.0	2.04	4.08
KATE	1.79	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	7.14	0.0	1.79	10.71	0.0	10.71	10.71	8.93	0.0	0.0	7.14	5.36	0.0	0.0	1.79	0.0	1.79	0.0	0.0	48.21	0.0	1.79	0.0	0.0	1.79	0.0	5.36	0.0	0.0	0.0	12.50	0.0	0.0	5.36	3.57	5.36	0.0	0.0	0.0	7.14	1.79	0.0	16.07	14.29	12.50	0.0	21.43	0.0	3.57	5.36	0.0	0.0	1.79	12.50	0.0	0.0	0.0	3.57	14.29	0.0	0.0	0.0
