SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
ALI	62	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	4.84	4.84	1.61	0.0	6.45	0.0	19.35	0.0	0.0	0.0	0.0	12.90	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.03	0.0	0.0	0.0	0.0	4.84	16.13	9.68	0.0	0.0	1.61	8.06	0.0	1.61	3.23	6.45	1.61	0.0	0.0	3.23	0.0	3.23	24.19	14.52	27.42	32.26	4.84	14.52	0.0	0.0	0.0	0.0	8.06	17.74	6.45	0.0	1.61	0.0	4.84	30.65	0.0	1.61	0.0
ALI	8	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	0.0	12.50	12.50	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	12.50	0.0	25.00	0.0	0.0	37.50	0.0	25.00	0.0	0.0	0.0	0.0	25.00	37.50	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0
ALI	41	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.32	0.0	12.20	2.44	2.44	0.0	2.44	4.88	12.20	7.32	7.32	2.44	0.0	9.76	7.32	0.0	0.0	2.44	2.44	0.0	0.0	0.0	56.10	0.0	0.0	0.0	0.0	0.0	4.88	2.44	0.0	0.0	2.44	7.32	0.0	0.0	0.0	2.44	2.44	0.0	2.44	0.0	2.44	0.0	12.20	7.32	19.51	19.51	0.0	19.51	0.0	0.0	2.44	0.0	7.32	9.76	12.20	2.44	2.44	0.0	7.32	19.51	0.0	0.0	0.0
SAM	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	50.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
ALI	5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.00	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	40.00	20.00	20.00	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	20.00	0.0	0.0	40.00	20.00	0.0	0.0
SAM	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	50.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
ALI	13	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.38	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	7.69	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	7.69	7.69	15.38	0.0	30.77	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	7.69	23.08	7.69	0.0	0.0	0.0
ALI	9	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	11.11	11.11	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	44.44	0.0	0.0	11.11	0.0	0.0	11.11	0.0	0.0	11.11	0.0	11.11	0.0	0.0	0.0	0.0	11.11	0.0	0.0	11.11	22.22	0.0	11.11	11.11	0.0	22.22	0.0	11.11	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	11.11	11.11	0.0	0.0	0.0
sun.	53	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55	0.0	0.0	1.89	0.0	0.0	7.55	0.0	3.77	1.89	1.89	0.0	0.0	11.32	7.55	0.0	0.0	0.0	0.0	3.77	0.0	0.0	45.28	0.0	0.0	0.0	0.0	1.89	0.0	11.32	0.0	0.0	0.0	5.66	5.66	0.0	1.89	0.0	0.0	0.0	1.89	0.0	11.32	1.89	7.55	13.21	7.55	13.21	0.0	15.09	0.0	0.0	7.55	0.0	1.89	11.32	13.21	0.0	0.0	5.66	0.0	7.55	0.0	0.0	0.0
ALI	35	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.57	2.86	5.71	0.0	0.0	0.0	14.29	2.86	2.86	0.0	0.0	2.86	0.0	14.29	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.0	60.00	0.0	0.0	0.0	0.0	0.0	2.86	5.71	0.0	0.0	2.86	5.71	5.71	0.0	8.57	2.86	0.0	0.0	2.86	5.71	0.0	0.0	5.71	22.86	5.71	11.43	0.0	25.71	0.0	0.0	0.0	0.0	0.0	2.86	14.29	0.0	0.0	0.0	2.86	11.43	2.86	2.86	0.0
SAM	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	50.00	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
ALI	23	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.70	0.0	4.35	0.0	0.0	0.0	4.35	0.0	17.39	4.35	4.35	4.35	0.0	8.70	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.57	0.0	0.0	0.0	0.0	0.0	4.35	4.35	0.0	0.0	0.0	0.0	0.0	0.0	8.70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.74	26.09	21.74	21.74	0.0	26.09	0.0	0.0	0.0	0.0	13.04	17.39	17.39	0.0	0.0	0.0	0.0	21.74	4.35	0.0	0.0
RICHARD	75	75.0	2.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.33	0.0	4.00	0.0	12.00	0.0	5.33	0.0	0.0	0.0	5.33	0.0	2.67	2.67	2.67	0.0	1.33	8.00	2.67	0.0	0.0	0.0	1.33	0.0	0.0	0.0	50.67	0.0	0.0	1.33	0.0	4.00	9.33	1.33	0.0	2.67	2.67	2.67	0.0	0.0	2.67	1.33	0.0	0.0	5.33	2.67	5.33	0.0	14.67	4.00	6.67	17.33	9.33	13.33	0.0	0.0	4.00	0.0	2.67	16.00	5.33	0.0	0.0	1.33	5.33	9.33	0.0	0.0	1.33
