SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
JAFFA	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EDDIE	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JAFFA	14	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	7.14	0.0	0.0	0.0	21.43	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	7.14	0.0	0.0	0.0	14.29	0.0	21.43	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	35.71	0.0	0.0	0.0	0.0	0.0	14.29	21.43	0.0	0.0	0.0	14.29	14.29	0.0	0.0	0.0
ROBBIE	37	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.51	2.70	2.70	16.22	0.0	0.0	0.0	2.70	8.11	2.70	0.0	0.0	0.0	13.51	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.65	0.0	0.0	5.41	2.70	0.0	8.11	8.11	0.0	0.0	0.0	8.11	2.70	0.0	2.70	0.0	5.41	0.0	0.0	0.0	8.11	10.81	10.81	10.81	10.81	18.92	2.70	10.81	0.0	0.0	2.70	2.70	0.0	10.81	8.11	0.0	5.41	0.0	0.0	13.51	2.70	0.0	0.0
CONNIE	34	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.82	0.0	2.94	2.94	0.0	0.0	0.0	0.0	8.82	2.94	0.0	0.0	0.0	23.53	5.88	0.0	0.0	5.88	2.94	0.0	0.0	0.0	64.71	0.0	2.94	0.0	0.0	0.0	5.88	8.82	0.0	0.0	5.88	5.88	0.0	2.94	2.94	5.88	0.0	0.0	0.0	2.94	2.94	2.94	20.59	20.59	11.76	26.47	2.94	5.88	0.0	0.0	2.94	0.0	2.94	17.65	2.94	0.0	2.94	0.0	0.0	14.71	2.94	2.94	8.82
ROBBIE	10	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	30.00	0.0	30.00	0.0	0.0	0.0	10.00	0.0	10.00	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	10.00	10.00	10.00	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	10.00	0.0	20.00	0.0
CONNIE	42	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	2.38	9.52	7.14	0.0	0.0	4.76	0.0	9.52	2.38	0.0	0.0	0.0	16.67	4.76	0.0	4.76	2.38	2.38	0.0	0.0	0.0	54.76	0.0	0.0	0.0	0.0	0.0	2.38	7.14	2.38	2.38	0.0	2.38	0.0	0.0	2.38	2.38	0.0	0.0	0.0	4.76	2.38	7.14	9.52	14.29	7.14	11.90	2.38	19.05	0.0	0.0	2.38	0.0	2.38	9.52	7.14	0.0	4.76	0.0	7.14	14.29	2.38	9.52	2.38
ROBBIE	19	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	10.53	0.0	5.26	5.26	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.37	0.0	0.0	5.26	5.26	5.26	0.0	5.26	5.26	0.0	0.0	21.05	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	10.53	5.26	21.05	0.0	10.53	0.0	0.0	0.0	0.0	0.0	10.53	10.53	0.0	0.0	0.0	0.0	5.26	0.0	5.26	0.0
CONNIE	52	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	3.85	1.92	9.62	0.0	0.0	9.62	0.0	11.54	0.0	0.0	0.0	1.92	15.38	1.92	0.0	1.92	0.0	0.0	0.0	0.0	1.92	61.54	3.85	0.0	1.92	3.85	1.92	3.85	1.92	0.0	1.92	0.0	9.62	0.0	0.0	3.85	1.92	1.92	0.0	0.0	1.92	1.92	7.69	11.54	15.38	9.62	21.15	7.69	13.46	0.0	0.0	0.0	0.0	0.0	17.31	5.77	0.0	5.77	0.0	3.85	19.23	0.0	5.77	7.69
ROBBIE	13	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.08	0.0	0.0	7.69	0.0	0.0	7.69	0.0	23.08	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	7.69	0.0	0.0	0.0	7.69	76.92	0.0	0.0	0.0	0.0	0.0	15.38	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.38	0.0	7.69	15.38	23.08	7.69	23.08	0.0	15.38	0.0	0.0	0.0	0.0	0.0	7.69	7.69	0.0	7.69	0.0	7.69	23.08	0.0	0.0	0.0
