SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
TESS	31	31.0	6.45	0.0	0.0	0.0	6.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.90	0.0	0.0	3.23	0.0	0.0	12.90	0.0	0.0	3.23	0.0	0.0	0.0	6.45	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.16	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	3.23	3.23	6.45	19.35	3.23	6.45	0.0	19.35	0.0	0.0	3.23	3.23	6.45	9.68	16.13	0.0	0.0	0.0	3.23	3.23	0.0	6.45	0.0
TESS	38	38.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	18.42	5.26	0.0	0.0	0.0	0.0	13.16	0.0	5.26	0.0	0.0	0.0	2.63	7.89	2.63	0.0	0.0	2.63	0.0	2.63	0.0	0.0	47.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	2.63	2.63	0.0	7.89	15.79	2.63	7.89	2.63	21.05	0.0	0.0	0.0	0.0	7.89	10.53	15.79	0.0	0.0	0.0	2.63	5.26	0.0	2.63	0.0
EUSTACIA	21	21.0	9.52	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	0.0	0.0	0.0	0.0	9.52	0.0	4.76	9.52	4.76	0.0	9.52	0.0	0.0	4.76	4.76	0.0	0.0	0.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	0.0	4.76	4.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	0.0	9.52	0.0	0.0	4.76	4.76	0.0	9.52	19.05	0.0	9.52	0.0	14.29	4.76	0.0	0.0	0.0	0.0	14.29	0.0	4.76	0.0	0.0	4.76	4.76	0.0	0.0	9.52
GLEN	16	16.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	6.25	0.0	0.0	0.0	0.0	6.25	6.25	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.75	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.50	18.75	0.0	0.0	0.0	0.0	6.25	0.0	0.0	6.25	0.0	0.0	6.25	12.50	6.25	25.00	0.0	6.25	0.0	6.25	0.0	0.0	6.25	6.25	0.0	0.0	0.0	0.0	6.25	12.50	0.0	0.0	0.0
GLEN	19	19.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	10.53	0.0	5.26	5.26	5.26	0.0	5.26	0.0	0.0	10.53	10.53	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.11	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.0	0.0	0.0	5.26	0.0	5.26	0.0	15.79	0.0	15.79	5.26	5.26	21.05	0.0	15.79	0.0	0.0	10.53	0.0	15.79	26.32	15.79	5.26	0.0	0.0	0.0	5.26	0.0	0.0	0.0
NICHOLAS	27	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.04	0.0	0.0	11.11	3.70	3.70	7.41	0.0	7.41	3.70	3.70	0.0	3.70	11.11	3.70	3.70	0.0	0.0	0.0	0.0	0.0	0.0	48.15	0.0	0.0	0.0	0.0	0.0	0.0	3.70	0.0	0.0	3.70	7.41	0.0	0.0	0.0	0.0	11.11	0.0	0.0	11.11	7.41	0.0	11.11	11.11	0.0	18.52	3.70	11.11	0.0	0.0	3.70	0.0	11.11	11.11	3.70	0.0	0.0	0.0	7.41	14.81	0.0	0.0	0.0
NICHOLAS	28	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	3.57	7.14	0.0	3.57	10.71	0.0	14.29	0.0	0.0	0.0	3.57	17.86	0.0	3.57	3.57	0.0	0.0	3.57	0.0	0.0	60.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	7.14	0.0	0.0	3.57	0.0	3.57	0.0	3.57	14.29	3.57	3.57	10.71	7.14	0.0	17.86	3.57	10.71	0.0	0.0	0.0	0.0	10.71	17.86	3.57	0.0	3.57	0.0	3.57	14.29	0.0	0.0	0.0
NICHOLAS	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASEY	45	45.0	8.89	0.0	0.0	0.0	2.22	0.0	2.22	6.67	0.0	0.0	0.0	0.0	0.0	13.33	0.0	2.22	4.44	0.0	0.0	4.44	0.0	8.89	4.44	2.22	0.0	4.44	15.56	4.44	0.0	4.44	4.44	0.0	0.0	0.0	0.0	46.67	0.0	2.22	4.44	0.0	0.0	11.11	4.44	0.0	0.0	2.22	0.0	0.0	2.22	2.22	2.22	2.22	0.0	2.22	6.67	6.67	0.0	17.78	8.89	8.89	17.78	2.22	13.33	0.0	0.0	2.22	2.22	6.67	11.11	6.67	0.0	2.22	0.0	4.44	15.56	0.0	0.0	0.0
BETH	16	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	12.50	0.0	0.0	0.0	0.0	0.0	25.00	6.25	0.0	0.0	0.0	18.75	0.0	0.0	6.25	0.0	0.0	6.25	0.0	0.0	81.25	6.25	0.0	0.0	0.0	0.0	6.25	6.25	6.25	0.0	6.25	12.50	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	18.75	12.50	18.75	31.25	6.25	6.25	0.0	0.0	0.0	0.0	0.0	12.50	6.25	0.0	0.0	6.25	0.0	31.25	0.0	0.0	6.25
