SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
WILLIAM STARKS	10	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	10.00	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	20.00	0.0	0.0	20.00	0.0	0.0	20.00	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	20.00	0.0	0.0	0.0
WILLIAM STARKS	29	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.90	0.0	24.14	6.90	3.45	0.0	0.0	0.0	10.34	3.45	0.0	0.0	0.0	24.14	17.24	10.34	0.0	0.0	0.0	6.90	0.0	0.0	65.52	0.0	3.45	0.0	0.0	0.0	20.69	10.34	0.0	0.0	13.79	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	20.69	10.34	3.45	20.69	3.45	0.0	20.69	3.45	6.90	0.0	0.0	3.45	0.0	0.0	0.0	6.90	0.0	0.0	0.0	0.0	20.69	0.0	0.0	0.0
INTERN #1	14	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	28.57	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.43	0.0	0.0	0.0	0.0	7.14	0.0	28.57	0.0	0.0	0.0	7.14	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	28.57	28.57	21.43	0.0	35.71	0.0	0.0	0.0	0.0	0.0	21.43	21.43	0.0	0.0	7.14	0.0	35.71	7.14	0.0	0.0
INTERN #1	4	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	50.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	25.00	0.0	0.0	0.0
INTERN #1	27	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.52	0.0	3.70	0.0	0.0	0.0	7.41	0.0	11.11	3.70	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	3.70	0.0	0.0	0.0	55.56	0.0	3.70	0.0	3.70	0.0	0.0	7.41	0.0	0.0	3.70	3.70	3.70	0.0	0.0	3.70	0.0	0.0	0.0	3.70	0.0	0.0	11.11	18.52	11.11	14.81	0.0	11.11	0.0	0.0	0.0	0.0	11.11	14.81	7.41	0.0	0.0	0.0	3.70	14.81	0.0	0.0	0.0
INTERN #1	27	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.70	0.0	11.11	11.11	7.41	3.70	11.11	3.70	7.41	14.81	7.41	0.0	0.0	7.41	0.0	0.0	3.70	0.0	0.0	0.0	0.0	0.0	44.44	0.0	7.41	0.0	0.0	0.0	0.0	3.70	0.0	0.0	0.0	3.70	0.0	0.0	0.0	0.0	11.11	0.0	0.0	3.70	7.41	0.0	11.11	7.41	11.11	14.81	0.0	11.11	0.0	0.0	7.41	0.0	7.41	11.11	3.70	7.41	0.0	0.0	7.41	14.81	3.70	7.41	0.0
CAPTAIN MEDLEY	33	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.12	0.0	3.03	3.03	0.0	0.0	12.12	0.0	18.18	3.03	3.03	3.03	0.0	24.24	9.09	0.0	3.03	6.06	0.0	0.0	0.0	0.0	69.70	3.03	0.0	3.03	0.0	0.0	6.06	6.06	0.0	0.0	3.03	0.0	0.0	0.0	0.0	6.06	0.0	0.0	0.0	3.03	3.03	3.03	12.12	21.21	12.12	12.12	0.0	15.15	0.0	0.0	0.0	0.0	0.0	12.12	15.15	0.0	9.09	0.0	0.0	21.21	6.06	0.0	0.0
NEWSANCHOR	7	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	14.29	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	14.29	0.0	0.0	14.29	0.0	14.29	14.29	14.29	14.29	0.0	14.29	0.0	0.0	0.0	42.86	0.0	0.0	14.29	0.0	14.29	28.57	0.0	0.0	14.29
CAPTAIN MEDLEY	22	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.0	0.0	0.0	9.09	0.0	4.55	4.55	4.55	4.55	0.0	13.64	4.55	0.0	0.0	4.55	0.0	0.0	0.0	0.0	59.09	4.55	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.0	0.0	13.64	0.0	0.0	4.55	4.55	0.0	0.0	4.55	4.55	9.09	0.0	9.09	9.09	13.64	22.73	0.0	9.09	0.0	0.0	9.09	0.0	4.55	4.55	0.0	0.0	4.55	0.0	0.0	22.73	0.0	0.0	0.0
DOCTOR	19	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	5.26	5.26	0.0	0.0	10.53	0.0	15.79	0.0	0.0	0.0	0.0	31.58	5.26	0.0	10.53	0.0	0.0	0.0	0.0	0.0	63.16	5.26	0.0	0.0	0.0	0.0	0.0	15.79	0.0	0.0	0.0	5.26	0.0	0.0	5.26	5.26	0.0	0.0	0.0	10.53	0.0	5.26	0.0	15.79	10.53	5.26	5.26	21.05	0.0	0.0	0.0	0.0	0.0	0.0	15.79	0.0	5.26	0.0	0.0	26.32	0.0	0.0	0.0
