SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
NARRATION	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70	0.0	24.65	1.41	2.82	3.52	2.11	0.0	8.45	0.0	7.04	2.11	0.0	2.82	2.11	14.08	7.04	1.41	0.70	2.82	0.0	0.0	0.0	0.0	42.96	0.0	0.70	0.0	0.0	1.41	0.0	4.93	0.70	0.0	0.70	2.82	1.41	1.41	3.52	1.41	2.82	0.0	0.0	8.45	0.0	0.70	1.41	13.38	0.0	4.23	0.70	19.72	0.0	0.70	0.0	0.70	0.0	4.23	11.27	0.0	0.70	1.41	4.93	9.15	0.0	2.11	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	1.45	0.0	13.04	2.90	0.0	1.45	0.0	0.0	8.70	0.0	2.90	1.45	1.45	0.0	2.90	13.04	10.14	0.0	0.0	2.90	0.0	0.0	0.0	0.0	43.48	0.0	0.0	0.0	0.0	2.90	0.0	4.35	0.0	0.0	2.90	1.45	0.0	4.35	0.0	0.0	0.0	0.0	1.45	5.80	1.45	1.45	2.90	15.94	0.0	4.35	2.90	10.14	0.0	0.0	1.45	0.0	2.90	7.25	8.70	0.0	1.45	0.0	1.45	5.80	0.0	2.90	0.0
NARRATION	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	13.95	0.0	6.98	4.65	2.33	0.0	11.63	0.0	0.0	2.33	2.33	2.33	0.0	11.63	4.65	2.33	2.33	2.33	0.0	0.0	0.0	0.0	48.84	0.0	0.0	2.33	0.0	0.0	0.0	2.33	0.0	0.0	2.33	2.33	2.33	2.33	9.30	2.33	4.65	0.0	0.0	4.65	2.33	0.0	6.98	16.28	0.0	9.30	0.0	27.91	0.0	0.0	0.0	0.0	6.98	6.98	9.30	0.0	2.33	0.0	9.30	4.65	0.0	0.0	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	21.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.39	0.0	0.0	0.0	0.0	21.74	13.04	0.0	0.0	4.35	0.0	0.0	0.0	0.0	47.83	0.0	0.0	0.0	0.0	0.0	0.0	8.70	0.0	0.0	8.70	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	8.70	0.0	0.0	4.35	13.04	4.35	4.35	0.0	13.04	0.0	0.0	0.0	0.0	0.0	4.35	4.35	0.0	0.0	4.35	8.70	17.39	0.0	0.0	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55	0.0	27.27	4.55	4.55	0.0	0.0	0.0	0.0	0.0	0.0	4.55	4.55	4.55	0.0	27.27	9.09	0.0	0.0	0.0	0.0	4.55	0.0	0.0	36.36	0.0	0.0	0.0	0.0	0.0	0.0	13.64	0.0	4.55	0.0	4.55	9.09	0.0	0.0	0.0	0.0	0.0	0.0	4.55	4.55	0.0	0.0	13.64	9.09	4.55	4.55	22.73	0.0	0.0	0.0	0.0	0.0	9.09	4.55	0.0	4.55	0.0	13.64	13.64	0.0	4.55	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	0.0	0.0	0.0	0.0	0.0	16.67	0.0	16.67	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0
NARRATION	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	27.78	1.39	5.56	0.0	0.0	0.0	11.11	0.0	8.33	4.17	0.0	0.0	1.39	12.50	6.94	0.0	1.39	0.0	2.78	0.0	0.0	0.0	51.39	1.39	4.17	0.0	2.78	1.39	0.0	4.17	0.0	0.0	4.17	2.78	1.39	1.39	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0	4.17	12.50	1.39	6.94	2.78	15.28	0.0	0.0	0.0	0.0	4.17	13.89	11.11	0.0	0.0	0.0	4.17	11.11	0.0	5.56	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49	0.0	25.37	1.49	5.97	7.46	1.49	0.0	7.46	0.0	7.46	0.0	0.0	0.0	1.49	14.93	7.46	0.0	1.49	0.0	1.49	0.0	0.0	0.0	50.75	1.49	0.0	0.0	1.49	1.49	0.0	4.48	0.0	1.49	2.99	4.48	7.46	1.49	5.97	0.0	1.49	0.0	0.0	2.99	0.0	5.97	5.97	13.43	1.49	10.45	2.99	20.90	1.49	0.0	0.0	0.0	2.99	8.96	13.43	0.0	4.48	2.99	1.49	8.96	0.0	1.49	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	1.05	0.0	22.11	0.0	1.05	3.16	2.11	0.0	13.68	0.0	4.21	1.05	1.05	1.05	2.11	13.68	2.11	1.05	2.11	4.21	0.0	1.05	0.0	0.0	49.47	0.0	0.0	0.0	1.05	0.0	0.0	1.05	0.0	0.0	2.11	5.26	1.05	0.0	3.16	1.05	2.11	0.0	0.0	1.05	2.11	1.05	4.21	14.74	0.0	9.47	4.21	15.79	0.0	0.0	1.05	0.0	0.0	4.21	10.53	0.0	3.16	4.21	2.11	5.26	0.0	1.05	0.0
NARRATION	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.69	0.0	23.61	1.39	4.17	5.56	1.39	0.69	9.03	0.0	6.25	0.69	0.0	0.69	2.08	13.19	5.56	2.08	1.39	0.0	0.0	0.69	0.0	0.69	52.78	0.69	0.69	0.69	0.0	0.0	0.0	5.56	0.0	0.0	2.78	5.56	0.0	2.78	0.0	0.69	2.78	0.0	1.39	6.25	1.39	2.78	4.17	14.58	2.08	9.72	2.78	16.67	0.69	0.69	0.0	0.0	4.17	5.56	13.19	0.69	0.69	0.0	2.78	11.11	0.0	0.0	0.0
