SPEAKER	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
BRANDON LANG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	6.67	3.33	0.0	3.33	0.0	3.33	3.33	3.33	3.33	0.0	23.33	6.67	0.0	0.0	6.67	3.33	0.0	0.0	0.0	63.33	0.0	0.0	0.0	0.0	0.0	16.67	0.0	0.0	0.0	13.33	23.33	0.0	0.0	0.0	3.33	3.33	0.0	3.33	0.0	0.0	3.33	16.67	6.67	6.67	40.00	0.0	13.33	0.0	0.0	0.0	0.0	0.0	3.33	3.33	0.0	3.33	0.0	10.00	6.67	0.0	0.0	0.0
BRANDON VOICEOVER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	7.14	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	7.14	28.57	0.0	0.0	14.29	7.14	0.0	0.0	0.0	0.0	71.43	14.29	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	7.14	14.29	7.14	7.14	7.14	14.29	7.14	14.29	7.14	7.14	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	28.57	0.0	0.0	0.0
BRANDON VOICEOVER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	5.77	5.77	0.0	1.92	5.77	0.0	13.46	0.0	0.0	3.85	1.92	19.23	1.92	0.0	1.92	1.92	0.0	0.0	0.0	0.0	63.46	0.0	0.0	0.0	1.92	0.0	7.69	1.92	0.0	1.92	0.0	1.92	1.92	0.0	5.77	1.92	3.85	0.0	0.0	13.46	0.0	1.92	11.54	17.31	1.92	13.46	5.77	17.31	1.92	0.0	0.0	0.0	3.85	3.85	9.62	0.0	5.77	0.0	1.92	19.23	0.0	0.0	0.0
BRANDON	1.28	1.28	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	8.97	1.28	7.69	7.69	0.0	1.28	5.13	0.0	11.54	2.56	1.28	0.0	1.28	11.54	5.13	0.0	2.56	2.56	1.28	0.0	0.0	0.0	66.67	0.0	1.28	1.28	0.0	1.28	5.13	3.85	0.0	0.0	0.0	8.97	2.56	0.0	0.0	2.56	1.28	0.0	5.13	1.28	5.13	6.41	14.10	12.82	17.95	23.08	2.56	12.82	0.0	0.0	3.85	0.0	0.0	12.82	6.41	0.0	3.85	2.56	6.41	19.23	1.28	0.0	5.13
BRANDON VOICEOVER	3.03	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.15	15.15	0.0	21.21	0.0	6.06	3.03	0.0	12.12	3.03	3.03	3.03	3.03	9.09	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.48	0.0	0.0	0.0	0.0	0.0	9.09	3.03	0.0	0.0	0.0	3.03	3.03	0.0	3.03	6.06	9.09	0.0	3.03	15.15	0.0	12.12	9.09	15.15	0.0	12.12	6.06	12.12	0.0	3.03	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	18.18	0.0	6.06	0.0
TV ANNOUNCERS	2.44	0.0	0.0	0.0	2.44	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	7.32	4.88	2.44	4.88	0.0	0.0	12.20	0.0	7.32	0.0	0.0	0.0	0.0	14.63	7.32	0.0	4.88	4.88	0.0	0.0	0.0	0.0	41.46	2.44	0.0	0.0	2.44	0.0	0.0	0.0	0.0	2.44	2.44	2.44	2.44	0.0	0.0	0.0	2.44	0.0	2.44	4.88	0.0	2.44	2.44	7.32	9.76	4.88	0.0	21.95	0.0	2.44	0.0	0.0	2.44	4.88	9.76	0.0	7.32	0.0	12.20	17.07	0.0	0.0	0.0
BRANDON VOICEOVER	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	6.25	6.25	0.0	12.50	0.0	0.0	0.0	0.0	12.50	6.25	0.0	0.0	0.0	12.50	12.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.25	0.0	6.25	0.0	0.0	0.0	18.75	6.25	0.0	0.0	6.25	6.25	6.25	0.0	0.0	0.0	6.25	0.0	6.25	12.50	0.0	6.25	18.75	0.0	6.25	25.00	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	18.75	0.0	0.0	0.0
BRANDON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	25.00	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.00	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	50.00	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	25.00	0.0	0.0	0.0
BRANDON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	20.00	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	20.00	0.0	20.00	20.00	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	20.00	0.0	0.0	0.0
BRANDON	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	20.00	0.0	0.0	20.00	0.0	0.0	0.0
