SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
ON BLACK	7	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	42.86	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.86	0.0	14.29	0.0	14.29	14.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	14.29	14.29	0.0	0.0
A WOMAN	9	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	22.22	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	0.0	22.22	0.0	0.0	22.22	0.0	22.22	0.0	0.0	22.22	0.0	0.0	22.22	22.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22
A WOMAN	27	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.81	0.0	3.70	3.70	0.0	0.0	11.11	0.0	0.0	11.11	11.11	0.0	0.0	11.11	3.70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.85	0.0	0.0	3.70	7.41	0.0	0.0	11.11	0.0	0.0	0.0	0.0	3.70	0.0	3.70	0.0	0.0	0.0	0.0	0.0	7.41	3.70	18.52	18.52	0.0	18.52	0.0	22.22	0.0	0.0	3.70	0.0	14.81	18.52	14.81	0.0	0.0	0.0	3.70	0.0	0.0	0.0	3.70
MORNING	16	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	6.25	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.25	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	6.25	0.0	6.25	0.0	0.0	0.0	0.0	0.0	6.25	0.0	6.25	12.50	6.25	6.25	0.0	43.75	0.0	0.0	6.25	0.0	6.25	6.25	25.00	0.0	0.0	0.0	12.50	6.25	0.0	0.0	0.0
A WOMAN	7	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	28.57	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57	0.0	28.57	0.0	0.0	28.57	0.0	28.57	0.0	0.0	28.57	0.0	0.0	28.57	28.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.57
A WOMAN	54	54.0	3.70	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	12.96	1.85	0.0	5.56	0.0	0.0	18.52	0.0	1.85	3.70	1.85	3.70	0.0	18.52	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	1.85	0.0	7.41	1.85	1.85	0.0	11.11	1.85	3.70	0.0	1.85	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	11.11	3.70	11.11	14.81	7.41	12.96	1.85	18.52	0.0	1.85	3.70	0.0	3.70	16.67	14.81	0.0	0.0	0.0	3.70	9.26	5.56	0.0	1.85
A MAN	8	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	12.50	37.50	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.50	0.0	0.0	0.0	0.0	0.0	12.50	0.0	0.0	0.0	12.50	0.0	0.0	0.0	0.0	0.0	25.00	12.50	0.0	12.50	0.0	12.50	12.50	0.0	12.50	12.50	0.0	25.00	0.0	25.00	0.0	0.0	0.0	0.0	25.00	0.0	12.50	0.0	0.0	25.00	0.0	0.0	0.0
DAVID	10	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	10.00	0.0	0.0	10.00	0.0	30.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00	0.0	10.00	40.00	20.00	30.00	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	40.00
A MAN	26	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.54	0.0	7.69	7.69	0.0	0.0	7.69	0.0	15.38	3.85	0.0	3.85	7.69	34.62	7.69	0.0	0.0	11.54	0.0	0.0	0.0	0.0	73.08	0.0	3.85	0.0	0.0	3.85	7.69	7.69	0.0	0.0	3.85	3.85	3.85	3.85	0.0	11.54	0.0	0.0	0.0	0.0	0.0	7.69	15.38	3.85	19.23	19.23	11.54	0.0	3.85	0.0	0.0	0.0	0.0	15.38	0.0	0.0	3.85	0.0	0.0	23.08	3.85	7.69	3.85
DAVID	34	34.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	14.71	0.0	5.88	2.94	0.0	0.0	2.94	0.0	8.82	0.0	0.0	0.0	2.94	23.53	2.94	0.0	5.88	0.0	0.0	0.0	0.0	0.0	58.82	2.94	0.0	0.0	2.94	0.0	11.76	5.88	0.0	0.0	5.88	5.88	2.94	0.0	2.94	0.0	2.94	0.0	2.94	5.88	0.0	0.0	14.71	14.71	11.76	20.59	2.94	20.59	0.0	0.0	0.0	0.0	0.0	2.94	8.82	0.0	2.94	0.0	8.82	20.59	0.0	0.0	2.94
DAVID	25	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.00	0.0	4.00	0.0	0.0	0.0	8.00	0.0	24.00	0.0	0.0	0.0	4.00	16.00	0.0	0.0	8.00	0.0	0.0	0.0	0.0	0.0	68.00	8.00	0.0	0.0	0.0	8.00	0.0	0.0	0.0	0.0	4.00	16.00	0.0	0.0	0.0	4.00	0.0	0.0	4.00	0.0	0.0	0.0	4.00	12.00	8.00	20.00	0.0	16.00	0.0	0.0	0.0	0.0	0.0	16.00	4.00	0.0	0.0	0.0	12.00	24.00	0.0	0.0	4.00
