SPEAKER	NUM.WORDS	WPS	AllPct	Apostro	Colon	Comma	Dash	Exclam	Numerals	OtherP	Parenth	Period	QMark	Quote	SemiC	Sixltr	achieve	adverb	affect	anger	anx	article	assent	auxverb	bio	body	cause	certain	cogmech	conj	death	discrep	excl	family	feel	filler	friend	funct	future	health	hear	home	humans	i	incl	ingest	inhib	insight	ipron	leisure	money	motion	negate	negemo	nonfl	number	past	percept	posemo	ppron	preps	present	pronoun	quant	relativ	relig	sad	see	sexual	shehe	social	space	swear	tentat	they	time	verb	we	work	you
hard-charging engine.	83	83.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20	0.0	0.0	0.0	0.0	0.0	0.0	16.87	1.20	0.0	4.82	0.0	1.20	18.07	0.0	0.0	2.41	2.41	0.0	0.0	9.64	4.82	0.0	0.0	1.20	0.0	2.41	0.0	0.0	45.78	0.0	0.0	0.0	1.20	2.41	0.0	6.02	0.0	2.41	0.0	1.20	1.20	0.0	9.64	0.0	1.20	0.0	2.41	0.0	3.61	3.61	4.82	15.66	1.20	6.02	0.0	24.10	0.0	0.0	2.41	0.0	3.61	7.23	14.46	0.0	0.0	1.20	0.0	1.20	0.0	1.20	0.0
GILMAN	62	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.35	1.61	4.84	1.61	1.61	0.0	8.06	0.0	3.23	3.23	3.23	0.0	0.0	6.45	4.84	0.0	0.0	0.0	0.0	1.61	0.0	0.0	48.39	0.0	0.0	3.23	0.0	11.29	1.61	6.45	0.0	0.0	0.0	3.23	3.23	0.0	6.45	3.23	1.61	0.0	1.61	1.61	6.45	0.0	16.13	6.45	4.84	19.35	0.0	16.13	1.61	0.0	1.61	0.0	6.45	32.26	8.06	1.61	0.0	0.0	1.61	6.45	0.0	1.61	8.06
MASON	43	43.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	6.98	0.0	4.65	0.0	0.0	0.0	13.95	0.0	2.33	4.65	4.65	0.0	0.0	6.98	2.33	0.0	0.0	0.0	0.0	2.33	0.0	0.0	44.19	0.0	0.0	0.0	0.0	11.63	2.33	4.65	0.0	2.33	0.0	4.65	0.0	0.0	2.33	0.0	0.0	0.0	2.33	0.0	2.33	0.0	9.30	6.98	2.33	13.95	0.0	23.26	0.0	0.0	0.0	0.0	6.98	20.93	9.30	0.0	0.0	0.0	11.63	2.33	0.0	0.0	0.0
GILMAN	14	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	7.14	0.0	0.0	0.0	21.43	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	0.0	7.14	0.0	0.0	0.0	57.14	0.0	0.0	0.0	0.0	7.14	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	7.14	0.0	7.14	14.29	0.0	7.14	0.0	14.29	0.0	0.0	7.14	0.0	0.0	21.43	7.14	0.0	0.0	0.0	7.14	0.0	0.0	0.0	7.14
MASON	2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	50.00	150.00	0.0	0.0	0.0	0.0	0.0	0.0	50.00	50.00	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0
GILMAN	114	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.40	0.0	2.63	6.14	1.75	0.88	13.16	0.88	0.88	5.26	5.26	0.88	1.75	8.77	0.88	0.0	1.75	0.0	0.88	1.75	0.0	0.0	50.00	0.0	0.0	2.63	0.0	7.02	1.75	2.63	0.0	0.0	0.88	1.75	0.88	0.0	0.88	2.63	4.39	0.0	0.0	0.0	7.02	1.75	13.16	15.79	2.63	14.91	0.88	9.65	0.0	0.0	2.63	0.0	7.02	20.18	6.14	0.88	0.0	0.0	2.63	2.63	0.0	1.75	4.39
MASON	38	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.16	0.0	5.26	13.16	2.63	2.63	10.53	0.0	5.26	7.89	5.26	0.0	2.63	7.89	2.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.26	0.0	2.63	0.0	0.0	5.26	0.0	2.63	0.0	0.0	0.0	0.0	2.63	0.0	5.26	10.53	7.89	0.0	0.0	0.0	2.63	2.63	7.89	15.79	5.26	7.89	0.0	21.05	0.0	0.0	2.63	0.0	7.89	13.16	13.16	0.0	0.0	0.0	2.63	5.26	0.0	0.0	0.0
GILMAN	34	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	5.88	0.0	0.0	0.0	17.65	0.0	8.82	2.94	2.94	0.0	0.0	11.76	0.0	0.0	2.94	0.0	0.0	0.0	0.0	0.0	67.65	0.0	0.0	0.0	0.0	5.88	0.0	2.94	0.0	0.0	0.0	5.88	0.0	0.0	0.0	2.94	0.0	0.0	0.0	0.0	2.94	0.0	8.82	17.65	17.65	14.71	5.88	17.65	0.0	0.0	2.94	0.0	2.94	14.71	14.71	0.0	2.94	0.0	2.94	20.59	2.94	0.0	2.94
CONTINUED	11	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.18	0.0	9.09	0.0	0.0	0.0	18.18	0.0	0.0	9.09	9.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.18	0.0	0.0	0.0	36.36	0.0	0.0	0.0	0.0	0.0	0.0	9.09	0.0	0.0	0.0	9.09	0.0	0.0	0.0	0.0
MASON	42	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	0.0	9.52	7.14	2.38	0.0	9.52	0.0	2.38	4.76	4.76	0.0	0.0	14.29	7.14	0.0	2.38	2.38	0.0	2.38	0.0	0.0	54.76	0.0	0.0	0.0	0.0	4.76	0.0	7.14	0.0	0.0	2.38	4.76	0.0	0.0	2.38	0.0	4.76	0.0	0.0	2.38	4.76	2.38	7.14	16.67	4.76	11.90	0.0	21.43	0.0	2.38	2.38	0.0	4.76	14.29	14.29	2.38	2.38	0.0	4.76	9.52	0.0	0.0	2.38
GILMAN	242	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.12	2.07	1.24	5.37	1.65	0.41	9.50	0.0	2.89	5.37	3.72	0.41	0.41	11.16	7.85	0.41	0.41	1.24	0.0	2.07	0.0	0.41	49.59	0.41	1.65	0.41	0.0	4.13	1.24	6.20	0.0	0.83	0.41	3.72	1.24	0.0	2.48	0.83	3.72	0.0	1.65	0.41	4.96	1.65	8.68	14.88	4.96	12.40	0.83	14.05	0.0	0.41	2.07	0.0	6.61	14.05	8.68	0.0	1.24	0.41	2.89	6.61	0.0	0.41	0.41
CONTINUED	102	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.78	0.98	0.0	6.86	0.0	1.96	12.75	0.0	0.98	1.96	1.96	0.0	0.98	9.80	4.90	0.0	0.0	0.98	0.0	0.0	0.0	0.98	55.88	0.0	0.0	1.96	0.98	2.94	0.0	6.86	0.0	0.0	0.98	2.94	0.98	0.0	1.96	0.98	5.88	0.0	0.98	0.98	6.86	0.98	11.76	18.63	1.96	14.71	1.96	20.59	0.0	0.98	4.90	0.0	9.80	15.69	14.71	0.0	0.0	0.98	3.92	2.94	0.98	0.0	0.0
KAYLA	86	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	0.0	4.65	6.98	1.16	0.0	8.14	3.49	8.14	9.30	9.30	0.0	0.0	6.98	2.33	1.16	0.0	1.16	0.0	3.49	0.0	0.0	51.16	0.0	0.0	0.0	0.0	1.16	4.65	3.49	0.0	2.33	0.0	4.65	2.33	0.0	1.16	0.0	1.16	0.0	2.33	1.16	5.81	5.81	17.44	10.47	8.14	22.09	1.16	17.44	0.0	0.0	2.33	0.0	8.14	13.95	11.63	0.0	1.16	0.0	4.65	9.30	0.0	0.0	4.65
LOGAN	37	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.51	0.0	2.70	5.41	2.70	0.0	10.81	0.0	5.41	18.92	13.51	0.0	0.0	2.70	2.70	0.0	0.0	0.0	0.0	8.11	0.0	0.0	59.46	0.0	2.70	0.0	0.0	2.70	5.41	2.70	0.0	0.0	0.0	2.70	0.0	0.0	2.70	0.0	2.70	0.0	2.70	0.0	13.51	2.70	27.03	8.11	13.51	29.73	0.0	16.22	0.0	0.0	5.41	2.70	21.62	24.32	13.51	0.0	0.0	0.0	0.0	13.51	0.0	0.0	0.0
CONTINUED	4	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	50.00	0.0	0.0	50.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.00
KAYLA	15	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.33	0.0	13.33	6.67	0.0	0.0	6.67	0.0	6.67	6.67	0.0	0.0	0.0	20.00	0.0	0.0	6.67	6.67	0.0	6.67	0.0	0.0	60.00	0.0	0.0	0.0	0.0	6.67	0.0	6.67	0.0	0.0	0.0	13.33	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	6.67	6.67	20.00	0.0	13.33	33.33	0.0	13.33	0.0	0.0	0.0	6.67	13.33	26.67	0.0	0.0	0.0	0.0	13.33	13.33	6.67	0.0	0.0
CARNY BARKER	55	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.55	0.0	1.82	1.82	0.0	0.0	12.73	0.0	7.27	1.82	1.82	0.0	1.82	14.55	5.45	0.0	0.0	1.82	0.0	1.82	0.0	0.0	52.73	0.0	0.0	1.82	1.82	7.27	0.0	9.09	0.0	0.0	0.0	1.82	1.82	0.0	7.27	0.0	0.0	0.0	5.45	1.82	7.27	1.82	10.91	9.09	12.73	12.73	1.82	12.73	5.45	0.0	3.64	0.0	1.82	21.82	1.82	0.0	3.64	1.82	3.64	14.55	1.82	0.0	5.45
CONTINUED	103	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.71	1.94	3.88	4.85	0.97	0.97	7.77	0.0	1.94	7.77	4.85	0.0	0.0	9.71	8.74	0.97	0.0	1.94	0.97	0.97	0.0	0.0	46.60	0.0	1.94	0.0	0.0	2.91	0.0	6.80	0.97	0.0	0.97	0.0	0.0	0.0	0.97	1.94	3.88	0.0	0.97	0.0	6.80	0.97	10.68	12.62	4.85	10.68	0.97	12.62	0.0	1.94	5.83	0.0	8.74	16.50	6.80	0.0	0.97	1.94	3.88	4.85	0.0	0.97	0.0
SHERRLENE	5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.00	20.00	0.0	0.0	0.0	0.0	40.00	20.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.00	0.0	0.0	0.0	40.00	20.00	20.00	40.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00	0.0	0.0	0.0
