Matched movie IMDb ID: 1099212
Matched movie IMDb Name: Twilight
Number of matched characters: 15
Total number of utterances in script: 1494
Detailed Speaker Info: 

BELLA=> 285 | Bella Swan | Kristen Stewart | 0829576 | female | 1.0 | caucasian
EDWARD=> 174 | Edward Cullen | Robert Pattinson | 1500155 | male | -1.0 | caucasian
CHARLIE=> 62 | Charlie Swan | Billy Burke | 0121605 | male | -1.0 | other,caucasian
DR CULLEN=> 28 | Dr. Carlisle Cullen | Peter Facinelli | 0004906 | male | -1.0 | caucasian
JAMES=> 24 | James | Cam Gigandet | 1544217 | male | -1.0 | caucasian
JESSICA=> 22 | Jessica | Anna Kendrick | 0447695 | female | 1.0 | caucasian
RENE=> 19 | Renée | Sarah Clarke | 1020124 | female | 1.0 | 
ANGELA=> 16 | Angela | Christian Serratos | 1589312 | female | 1.0 | latino,caucasian
JACOB=> 14 | Jacob Black | Taylor Lautner | 1210124 | male | -1.0 | caucasian
MIKE=> 13 | Mike Newton | Michael Welch | 0919616 | male | -1.0 | caucasian
ALICE=> 13 | Alice Cullen | Ashley Greene | 2230865 | female | 1.0 | caucasian
ERIC=> 12 | Eric | Justin Chon | 2014390 | male | -1.0 | eastasian
LAURENT=> 10 | Laurent | Edi Gathegi | 1346230 | male | -1.0 | african
ROSALIE=> 9 | Rosalie | Nikki Reed | 1223023 | female | 1.0 | caucasian
JASPER=> 9 | Jasper | Jackson Rathbone | 1717152 | male | -1.0 | caucasian
ESME=> 8 | Esme Cullen | Elizabeth Reaser | 0714147 | female | 1.0 | caucasian
