IMDb ID: 0110265

IMDb Name: Killing Zoe

Year of release: 1993

Genre: Crime | Thriller

Writers: Roger Avary | male | -1.0

Directors: Roger Avary | male | -1.0

Assistant Directors: Trey Batchelor | male | -1.0 %% Christine Fuller | female | 1.0 %% Jason Roberts | male | -1.0 %% John E. Vohlers | male | -1.0

Casting Directors: Rick Montgomery | male | -1.0 %% Dan Parada | male | -0.49

Producers: Lawrence Bender | male | -1.0 %% Rebecca Boss | female | 1.0 %% Samuel Hadida | male | -1.0 %% Jeff Schechtman | male | -1.0 %% Quentin Tarantino | male | -0.71

Rating: 6.5

Distributing Company: October Films | Metropolitan Filmexport | Victor Company of Japan (JVC) | Asmik Ace Entertainment | New Vision Films | Live Entertainment | Metropolitan Filmexport | 21st Century Pictures | Atlantic Film | EuroVideo | Kanal 5 | Manga Films | Maple Pictures | RCV Home Entertainment | Seven7 | VMP | Verstil Home Vdeo | Verstil Home Vdeo | Videosonic

Number of matched characters: 15

Total number of utterances in script: 746

Detailed character info:

ERIC=> 271 | Eric | Jean-Hugues Anglade | 0000767 | male | -1.0 | caucasian
ZED=> 190 | Zed | Eric Stoltz | 0000655 | male | -0.71 | caucasian
ZOEY=> 64 | Zoe | Julie Delpy | 0000365 | female | 1.0 | caucasian
OLIVER=> 62 | Oliver | Gary Kemp | 0447290 | male | -1.0 | caucasian
CLAUDE=> 47 | Claude | Salvator Xuereb | 0944688 | male | -1.0 | caucasian
JEAN=> 27 | Jean | Kario Salem | 0758002 | male | -1.0 | caucasian
RICARDO=> 23 | Ricardo | Bruce Ramsay | 0708873 | male | -1.0 |
CAB=> 19 | Cab Driver | Martin Raymond | 0713327 | male | -1.0 |
BANK=> 11 | Bank Manager | Gian-Carlo Scandiuzzi | 0768908 | male | -1.0 |
BELLBOY=> 8 | Bellboy | Eric Pascal Chaltiel | 0150073 | male | -1.0 |
FRANCOIS=> 8 | Francois | Tai Thai | 0856872 | male | -0.74 |
ZOE=> 5 | Zoe | Julie Delpy | 0000365 | female | 1.0 | african
