IMDb ID: 0120915

IMDb Name: Star Wars: Episode I - The Phantom Menace

Year of release: 1999

Genre: Action | Adventure | Fantasy | Sci-Fi

Writers: George Lucas | male | -1.0

Directors: George Lucas | male | -1.0

Assistant Directors: Bernard Bellew | male | -1.0 %% Andrea Boni | male | -1.0 %% Roger Christian | male | -1.0 %% Dario Cioni | male | -1.0 %% Nick Gillard | male | -0.46 %% Nick Heckstall-Smith | male | -1.0 %% Paul Higgins | male | -1.0 %% Ben Howarth | male | -1.0 %% Moez Kamoun | male | -1.0 %% Christopher Newman | male | -1.0 %% Janet Nielsen | female | 1.0 %% David Turchi | male | -0.99 %% George Walker | male | -1.0 %% Christopher Granier-Deferre | male | -0.5

Casting Directors: Robin Gurland | male | -0.77

Producers: George Lucas | male | -1.0 %% Rick McCallum | male | -1.0

Rating: 6.5

Distributing Company: Twentieth Century Fox Film Corporation | 20th Century Fox Italia | 20th Century Fox Netherlands | 20th Century Fox Netherlands | 20th Century Fox | 20th Century Fox | 20th Century Fox | 20th Century Fox | 20th Century Fox | 20th Century Fox de Argentina | 20th Century Fox of Germany | Big Picture 2 Films | Columbia TriStar Egmont Film Distributors | FS Film | Fox-Warner | Gemini Film | Hispano Foxfilms S.A.E. | Odeon | Odeon | UGC-Fox Distribution (UFD) | Warner Bros. | 20th Century Fox Home Entertainment | 20th Century Fox Home Entertainment | 20th Century Fox Home Entertainment | Disney XD | Egmont Entertainment | FS Film | FS Film | Fox Network | Gativideo | Gativideo | Gativideo | MTV3 | Odeon | Odeon | Odeon | Sub | Twentieth Century Fox Home Entertainment | Twentieth Century Fox Home Entertainment | Twentieth Century Fox Home Entertainment | Twentieth Century Fox Home Entertainment | Walt Disney Studios Home Entertainment | Yleisradio (YLE) | Yorin

Number of matched characters: 12

Total number of utterances in script: 823

Detailed character info:

ANAKIN=> 84 | Anakin Skywalker | Jake Lloyd | 0005157 | male | -1.0 | caucasian
QUIGON=> 65 | Qui-Gon Jinn | Liam Neeson | 0000553 | male | -1.0 | caucasian
JAR JAR=> 54 | Jar Jar Binks | Ahmed Best | 0078886 | male | -1.0 | other,african
OBIWAN=> 24 | Obi-Wan Kenobi | Ewan McGregor | 0000191 | male | -1.0 | caucasian
PADME=> 22 | Padmé | Natalie Portman | 0000204 | female | 1.0 | caucasian
NUTE=> 17 | Nute Gunray | Silas Carson | 0141324 | male | -1.0 |
FODEBEED=> 15 | male | -1.0
WATTO=> 13 | Watto | Andy Secombe | 0781181 | male | -1.0 |
CAPT PANAKA=> 12 | Captain Panaka | Hugh Quarshie | 0702934 | male | -1.0 |
SHMI=> 11 | Shmi Skywalker | Pernilla August | 0000278 | female | 1.0 | caucasian
AMIDALA=> 11 | Queen Amidala | Natalie Portman | 0000204 | female | 1.0 | caucasian
PALPATINE=> 9 | Senator Palpatine | Ian McDiarmid | 0001519 | male | -0.99 | caucasian
RIC OLIE=> 8 | Ric Olié | Ralph Brown | 0114460 | male | -1.0 | caucasian
YODA=> 8 | Yoda | Frank Oz | 0000568 | male | -0.99 | caucasian
THREEPIO=> 7 | C-3PO / Dannl Faytonni | Anthony Daniels | 0000355 | male | -1.0 | caucasian
RUNE=> 6 | Rune Haako | Jerome St. John Blake | 0086592 | male | -0.71 |
BOSS NASS=> 5 | Boss Nass | Brian Blessed | 0000306 | male | -0.99 | caucasian
