IMDb ID: 0409459

IMDb Name: Watchmen

Year of release: 2009

Genre: Action | Drama | Mystery | Sci-Fi

Writers: David Hayter | male | -1.0 %% Alex Tse | male | -0.94 %% Dave Gibbons | male | -1.0 %% Alan Moore | male | -1.0

Directors: Zack Snyder | male | -1.0

Assistant Directors: Ashley Bell | female | 0.99 %% Misha Bukowski | female | 0.79 %% Eddy Santos | male | -0.7 %% Rhonda Taylor | female | 0.99 %% Martin Walters | male | -1.0

Casting Directors: Kristy Carlson | female | 1.0

Producers: Wesley Coller | male | -0.99 %% Herb Gains | male | -0.5 %% Lawrence Gordon | male | -1.0 %% Lloyd Levin | male | -1.0 %% Lorne Orleans | male | -0.49 %% Deborah Snyder | female | 1.0 %% Thomas Tull | male | -1.0

Rating: 7.6

Distributing Company: B&H Film Distribution | Bontonfilm | Central Partnership | Finnkino | Paramount Pictures | Paramount Pictures | Paramount Pictures | Paramount Pictures | Paramount Pictures | Solar Entertainment | United International Pictures (UIP) | United International Pictures (UIP) | United International Pictures (UIP) | United International Pictures (UIP) | United International Pictures (UIP) | Universal Pictures International (UPI) | Village Films | Warner Bros. | Warner Bros. | Argentina Video Home | Audio Visual Entertainment | Film1 | Hollydan Works | Home Box Office (HBO) | Intercontinental Film Distributors (HK) | Nelonen | Paramount Channel | Paramount Home Entertainment Finland | Paramount Home Entertainment | Paramount Home Entertainment | Paramount Home Entertainment | Paramount Home Entertainment | Paramount Home Entertainment | RTL Entertainment | RTL Entertainment | Turner Network Television (TNT) | Warner Home Video | Warner Home Video

Number of matched characters: 15

Total number of utterances in script: 1669

Detailed character info:

DAN=> 168 | Dan Dreiberg | Patrick Wilson | 0933940 | male | -1.0 | caucasian
LAURIE=> 157 | Laurie Jupiter | Malin Akerman | 0015196 | female | 1.0 | caucasian
RORSCHACH=> 134 | Rorschach | Jackie Earle Haley | 0355097 | male | -1.0 | other,caucasian
DR MANHATTAN=> 85 | Dr. Manhattan | Billy Crudup | 0001082 | male | -0.99 | caucasian
ADRIAN=> 64 | Adrian Veidt | Matthew Goode | 0328828 | male | -1.0 | caucasian
CONTINUED=> 34 | unknown | 0.0
BLAKE=> 27 | Edward Blake | Jeffrey Dean Morgan | 0604742 | male | -1.0 | other,caucasian
SALLY=> 20 | Sally Jupiter | Carla Gugino | 0001303 | female | 1.0 | caucasian
HOLLIS=> 17 | Hollis Mason | Stephen McHattie | 0570385 | male | -1.0 | caucasian
MOLOCH=> 12 | Moloch | Matt Frewer | 0001242 | male | -1.0 | caucasian
DOUG ROTH=> 12 | Doug Roth | John Shaw | 0789794 | male | -1.0 |
AGENT FORBES=> 10 | Agent Forbes | Fulvio Cecere | 0147661 | male | -1.0 |
PSYCHIATRIST=> 8 | Prison Psychiatrist | William S. Taylor | 0853335 | male | -1.0 |
BIG FIGURE=> 8 | Big Figure Prisoner | Danny Woodburn | 0940173 | male | -1.0 | caucasian
EDITOR=> 7 | New Frontiersman Editor | L. Harvey Gold | 0325023 | male | -1.0 |
ASSISTANT=> 7 | Adrian Veidt's Assistant | Sonya Salomaa | 1176497 | female | 0.99 |
